Mouse_ID,Transect,State,Address,Latitude,Longitude,Capture,Dissection,Sex,Status,Species,Year,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,epididymis weight,Seminal.vesicle.weight,Embryo_left,Embryo_right,Feces_weight,ASP,SYP,HET,MART,CP,HD,HM,MM,TM
AA_0539,HZ_BR,Germany,"Alter Dechtowerweg 2, 16833",52.7949,12.7802,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,15.5,79,80,0.0319,0.0911,0.0896,0.0271,0.1528,NA,NA,0.42,93,0,0,0,0,0,0,2,0
AA_0540,HZ_BR,Germany,"Dorfstr. 1, 16833",52.7723,12.7220,12/09/18,13/09/18,female,adult,Mus musculus,2018,FALSE,17.3,84,81,0.0623,NA,NA,NA,NA,0,0,0.22,0,0,0,0,0,0,0,0,0
AA_0541,HZ_BR,Germany,"Muhlenweg 5, 14728",52.5736,12.3726,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,20.99,89,93,71,0.1209,0.1211,0.0351,0.2095,NA,NA,0.15,0,0,0,0,0,0,0,0,3
AA_0542,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,15.81,79.5,76,0.0582,0.0641,0.0665,0.0173,0.0652,NA,NA,0.33,0,0,0,0,0,0,0,0,1
AA_0543,HZ_BR,Germany,"Muhlenweg 5, 14728",52.5736,12.3726,12/09/18,13/09/18,female,pregnant,Mus musculus,2018,FALSE,26.57,80,82,0.0875,NA,NA,NA,NA,2,6,0.25,0,0,0,0,0,0,0,0,0
AA_0544,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,16.82,81.5,70.5,0.0279,0.0718,0.0729,0.0252,0.1844,NA,NA,0.63,1,0,0,0,0,0,0,0,0
AA_0545,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,18.34,78,78.2,0.0157,0.0696,0.0712,0.0235,0.1502,NA,NA,0.59,0,0,0,0,0,0,0,0,0
AA_0546,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,20.29,86,77,0.05,NA,NA,NA,NA,NA,NA,0.44,106,21,0,0,0,0,0,2,0
AA_0547,HZ_BR,Germany,"Berlzin-Brunnerstr. 24, 16833",52.7625,12.7588,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,8.92,65,62,0.01,NA,NA,NA,NA,NA,NA,0.08,0,0,0,0,0,0,0,0,0
AA_0548,HZ_BR,Germany,"Berlzin-Brunnerstr. 24, 16833",52.7625,12.7588,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,18.02,83,84,0.04,NA,NA,NA,NA,NA,NA,0.03,0,0,0,0,0,0,0,0,0
AA_0549,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,8.56,63,57,0.01,NA,NA,NA,NA,NA,NA,0.07,0,16,0,0,0,0,0,0,0
AA_0550,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,9.46,60,59,0.04,NA,NA,NA,NA,NA,NA,0.08,0,1,0,0,0,0,0,0,0
AA_0551,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,10.51,67,61,0.02,NA,NA,NA,NA,NA,NA,0.16,0,0,0,0,1,0,0,0,0
AA_0552,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,12.04,67,64,0.04,NA,NA,NA,NA,NA,NA,0.32,0,6,0,0,0,0,0,0,0
AA_0553,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,TRUE,13.43,77,68,0.09,NA,NA,NA,NA,NA,NA,0.14,0,0,0,0,0,0,0,0,0
AA_0554,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,female,adult,Mus musculus,2018,TRUE,18.99,87,78,0.09,NA,NA,NA,NA,NA,NA,0.14,12,112,48,1,0,0,0,0,0
AA_0555,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,female,adult,Mus musculus,2018,FALSE,15.08,78,67,0.06,NA,NA,NA,NA,NA,NA,0.16,0,0,4,1,0,0,0,0,0
AA_0556,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,TRUE,17.48,80,67,0.06,NA,NA,NA,NA,NA,NA,0.49,0,0,0,1,0,0,0,0,0
AA_0557,HZ_BR,Germany,"Altglietzener Dorfstr. 31, 16259",52.8327,14.0908,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,TRUE,15.25,74,64,0.06,NA,NA,NA,NA,NA,NA,0.47,0,0,0,6,0,0,0,0,0
AA_0558,HZ_BR,Germany,"Neuglietzener str. 30, 16259",52.8361,14.1192,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,10.85,70,64,0.03,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0
AA_0559,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,female,pregnant,Mus musculus,2018,FALSE,26.65,82,60,0.03,NA,NA,NA,NA,1,5,0.19,0,38,19,2,0,0,0,0,0
AA_0560,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,TRUE,16.66,80,62,0.03,NA,NA,NA,NA,NA,NA,0.21,0,0,7,0,0,0,0,1,0
AA_0561,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,female,pregnant,Mus musculus,2018,FALSE,19.96,77,63,0.02,NA,NA,NA,NA,3.0000,3,0.46,0,18,0,0,0,0,0,0,0
AA_0562,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,12.63,69,71,0.04,NA,NA,NA,NA,NA,NA,0.23,0,0,0,0,0,0,0,0,0
AA_0563,HZ_BR,Germany,"Molhenberg 1, 15517",52.3973,14.0671,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,6.94,55,51,0.01,NA,NA,NA,NA,NA,NA,0.15,0,0,0,0,0,0,0,0,0
AA_0564,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,FALSE,12.03,67,63,0.03,NA,NA,NA,NA,NA,NA,0.15,0,18,0,0,0,0,0,0,0
AA_0565,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,TRUE,13.74,69,69,0.03,NA,NA,NA,NA,NA,NA,0.08,0,0,0,0,0,0,0,0,0
AA_0566,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,female,juvenile,Mus musculus,2018,TRUE,11.69,69,71,0.04,NA,NA,NA,NA,NA,NA,0.31,0,0,0,0,0,0,0,0,0
AA_0567,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,9.8,64,64,0.03,NA,NA,NA,NA,NA,NA,0.12,0,3,0,0,0,0,0,0,0
AA_0568,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,14.21,68.5,75.5,0.0495,0.0287,0.0314,NA,NA,NA,NA,0.08,0,0,0,0,0,0,0,0,0
AA_0569,HZ_BR,Germany,"Dorfstrasse 2, 16359",52.7369,13.6605,12/09/18,13/09/18,male,juvenile,Mus musculus,2018,FALSE,9.14,62.75,63,0.0306,0.0095,0.0097,NA,NA,NA,NA,0.23,0,8,0,0,0,0,0,0,0
AA_0570,HZ_BR,Germany,"Mildenberger str. 1, 16792",52.9934,13.3049,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,18.26,81.4,90.1,0.0221,0.0753,0.0724,0.0308,0.6011,NA,NA,0.46,0,2,0,0,0,0,0,0,10
AA_0571,HZ_BR,Germany,"Mildenberger str. 1, 16792",52.9934,13.3049,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,16.94,71.9,87,0.0186,0.0733,0.0743,0.0261,0.3272,NA,NA,0.46,0,6,0,0,0,0,0,0,0
AA_0572,HZ_BR,Germany,"Mildenberger str. 1, 16792",52.9934,13.3049,13/09/18,14/09/18,female,pregnant,Mus musculus,2018,FALSE,21.52,81.73,84.15,0.0176,NA,NA,NA,NA,2,3,0.71,0,52,0,0,0,0,0,0,1
AA_0573,HZ_BR,Germany,"Dorfstrasse 44, 16248",52.9306,14.0736,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,13.47,76.37,69.49,0.023,0.0655,0.0696,0.0202,0.0906,NA,NA,0.49,1,22,0,0,0,0,0,0,0
AA_0574,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,19.4,85.41,89.15,0.04,0.0904,0.0881,0.0237,0.0897,NA,NA,0.97,0,10,0,0,0,0,0,0,10
AA_0575,HZ_BR,Germany,"Dorfstrasse 44, 16248",52.9306,14.0736,13/09/18,14/09/18,female,adult,Mus musculus,2018,FALSE,11.66,69.13,67.05,0.0327,NA,NA,NA,NA,NA,NA,0.42,0,0,0,0,0,0,0,0,0
AA_0576,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,female,adult,Mus musculus,2018,FALSE,17.85,82.35,81.59,0.0451,NA,NA,NA,NA,NA,NA,0.47,0,0,0,0,0,0,0,0,1
AA_0577,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,female,adult,Mus musculus,2018,FALSE,17.51,79.77,87.71,0.0357,NA,NA,NA,NA,NA,NA,0.71,0,0,0,0,0,0,0,0,0
AA_0578,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,female,adult,Mus musculus,2018,FALSE,15.06,82.84,78.83,0.0178,NA,NA,NA,NA,NA,NA,0.71,0,0,0,0,0,0,0,0,0
AA_0579,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,adult,Mus musculus,2018,TRUE,15.81,78.88,70,0.0204,0.0727,0.071,0.0199,0.1155,NA,NA,0.54,5,0,0,0,0,0,0,0,0
AA_0580,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,23.21,86.96,82.3,0.1965,0.0377,0.0814,0.0307,0.1605,NA,NA,0.94,53,87,2,0,0,0,0,0,1
AA_0581,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,male,adult,Mus musculus,2018,FALSE,15.98,78.45,85.79,0.0296,0.0748,0.0714,0.0282,0.1811,NA,NA,0.14,0,0,0,0,0,0,0,0,0
AA_0582,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,female,adult,Mus musculus,2018,TRUE,23.81,91,82,0.06,NA,NA,NA,NA,NA,NA,0.6,0,0,0,0,0,0,0,0,0
AA_0583,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,male,juvenile,Mus musculus,2018,TRUE,14.25,77,82,0.05,NA,NA,NA,NA,NA,NA,0.22,0,0,0,0,0,0,0,0,0
AA_0584,HZ_BR,Germany,"Warsowerstr. 8, 14662",52.7272,12.6270,13/09/18,14/09/18,male,adult,Mus musculus,2018,TRUE,15.33,76,76,0.03,NA,NA,NA,NA,NA,NA,0.29,0,0,0,0,0,0,0,0,0
AA_0585,HZ_BR,Germany,"Mildenberger str. 1, 16792",52.9934,13.3049,13/09/18,14/09/18,female,pregnant,Mus musculus,2018,FALSE,22.3,86,77,0.04,NA,NA,NA,NA,2,2,0.27,0,0,0,0,0,0,0,0,33
AA_0586,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,juvenile,Mus musculus,2018,FALSE,6.2,57,54,0.01,NA,NA,NA,NA,NA,NA,0.25,0,0,0,0,0,0,0,0,0
AA_0587,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,female,adult,Mus musculus,2018,FALSE,17.85,78,70,0.1,NA,NA,NA,NA,NA,NA,0.43,0,0,0,0,0,0,0,0,205
AA_0588,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,juvenile,Mus musculus,2018,FALSE,6.21,57,57,0.01,NA,NA,NA,NA,NA,NA,0.28,0,0,0,0,0,0,0,0,0
AA_0589,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,juvenile,Mus musculus,2018,FALSE,8.04,61,65,0.01,NA,NA,NA,NA,NA,NA,0.71,0,0,0,0,0,0,0,0,0
AA_0590,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,female,juvenile,Mus musculus,2018,TRUE,7.17,57,61,0.01,NA,NA,NA,NA,NA,NA,0.27,0,0,0,0,0,0,0,0,0
AA_0591,HZ_BR,Germany,"Beeskower str. 24, 15848",52.2130,14.0923,13/09/18,14/09/18,male,juvenile,Mus musculus,2018,TRUE,6.96,62,62,0.01,NA,NA,NA,NA,NA,NA,0.24,0,0,0,0,0,0,0,0,0
AA_0592,HZ_BR,Germany,"Wernbergstrasse, 16248",52.9455,14.1010,13/09/18,14/09/18,female,adult,Mus musculus,2018,TRUE,13.93,75,79,0.03,NA,NA,NA,NA,NA,NA,0.74,0,0,0,0,0,0,0,0,0
AA_0593,HZ_BR,Germany,"Gabow 67, 16259",52.8170,14.0745,13/09/18,14/09/18,female,pregnant,Mus musculus,2018,TRUE,15.08,79,89,0.03,NA,NA,NA,NA,4,1,0.64,0,0,0,0,0,0,0,0,4
AA_0594,,,Felchower str. 15,53.0059,14.0801,14/09/18,15/09/18,male,adult,,,FALSE,18.08,79.3,86.5,0.0239,0.0676,0.0663,0.0234,0.1826,NA,NA,0.36,1,1,0,0,0,0,0,0,0
AA_0595,,,Felchower str. 15,53.0059,14.0801,,,male,adult,,,FALSE,11.88,75.2,71.2,0.0224,0.0518,0.0533,0.0109,0.0097,NA,NA,0.35,0,0,0,0,0,0,0,0,0
AA_0596,,,Gellmersdorfer str. 15,52.9906,14.0741,,,male,adult,,,TRUE,16.94,81,81.1,0.0331,0.0673,0.0644,0.0221,0.16,NA,NA,0.52,0,0,0,0,0,0,0,0,0
AA_0597,,,Felchower str. 15,53.0059,14.0801,,,female,adult,,,FALSE,18.11,87.7,82.5,0.049,NA,NA,NA,NA,NA,NA,0.33,10,0,0,0,0,0,0,0,0
AA_0598,,,Felchower str. 15,53.0059,14.0801,,,male,adult,,,FALSE,11.21,72.2,74.3,0.0229,0.0493,0.0513,0.0134,0.0193,NA,NA,0.71,0,0,0,0,0,0,0,0,0
AA_0599,,,Semliner str. 1,52.6306,12.4558,,,male,adult,,,FALSE,9.85,67,74.5,0.0135,0.027,0.025,0.0101,0.0097,NA,NA,0.16,0,0,0,0,0,0,0,0,0
AA_0600,,,Semliner str. 1,52.6306,12.4558,,,female,adult,,,FALSE,15.11,76.9,83.3,0.0265,NA,NA,NA,NA,NA,NA,0.42,0,0,0,0,0,0,0,0,0
AA_0601,,,Chauseestr. 1,53.0989,13.9631,,,male,adult,,,TRUE,16.87,80.3,75.3,0.0292,0.0911,0.0939,0.0234,0.1358,NA,NA,0.24,0,0,0,0,0,0,0,0,0
AA_0602,,,Granseer str. 65,53.0689,13.0992,,,male,adult,,,TRUE,14.75,74.5,81.9,0.064,0.0571,0.0575,0.0204,0.1115,NA,NA,0.36,0,15,0,0,0,0,0,4,0
AA_0603,,,Semliner str. 1,52.6306,12.4558,,,female,pregnant,,,FALSE,18.75,84,85.6,0.047,NA,NA,NA,NA,0,3,0.41,0,0,0,0,0,0,0,0,0
AA_0604,,,Gusower feldweg 5,52.2584,13.7311,,,male,adult,,,FALSE,18.82,79.9,81.8,0.0225,0.0847,0.0843,0.0237,0.1334,NA,NA,0.33,0,0,0,0,0,0,0,0,0
AA_0605,,,Felchower str. 15,53.0059,14.0801,,,male,adult,,,FALSE,16.28,82,73.3,0.0264,0.0762,0.0766,0.0225,0.0926,NA,NA,0.51,5,0,0,0,0,0,0,0,0
AA_0606,,,Felchower str. 15,53.0059,14.0801,,,female,adult,,,FALSE,21.41,86.8,36.3,0.0402,NA,NA,NA,NA,NA,NA,0.36,0,0,0,0,0,0,0,0,0
AA_0607,,,Gellmersdorfer str. 15,52.9906,14.0741,,,male,adult,,,TRUE,14.65,79.5,70.7,0.0331,0.0575,0.0615,0.0171,0.1088,NA,NA,0.48,0,0,0,0,,0,0,0,0
AA_0608,,,Gellmersdorfer str. 15,52.9906,14.0741,,,male,adult,,,TRUE,16.46,81,75.2,0.42,0.0729,0.0745,0.0201,0.092,NA,NA,0.4,0,0,0,0,0,0,0,0,0
AA_0609,,,Gusower feldweg 5,52.2584,13.7311,,,female,adult,,,FALSE,20.82,85,83,0.05,NA,NA,NA,NA,NA,NA,0.39,0,1,0,0,0,0,0,0,0
AA_0610,,,Felchower str. 15,53.0059,14.0801,,,female,juvenile,,,FALSE,7.86,64,64,0.02,NA,NA,NA,NA,NA,NA,0.28,0,0,0,0,0,0,0,0,0
AA_0611,,,Felchower str. 15,53.0059,14.0801,,,female,juvenile,,,FALSE,6.65,62,52,0.01,NA,NA,NA,NA,NA,NA,0.25,0,38,0,0,0,0,0,0,0
AA_0612,,,Felchower str. 15,53.0059,14.0801,,,female,juvenile,,,TRUE,10.41,72,71,0.01,NA,NA,NA,NA,NA,NA,0.28,0,0,0,0,0,0,0,0,0
AA_0613,,,Semliner str. 1,52.6306,12.4558,,,female,adult,,,FALSE,17.59,81,81,0.03,NA,NA,NA,NA,NA,NA,0.65,0,0,0,0,0,0,0,0,0
AA_0614,,,Semliner str. 1,52.6306,12.4558,,,female,pregnant,,,FALSE,24.66,90,80,0.06,NA,NA,NA,NA,2,2,0.34,0,0,0,0,0,0,0,0,0
AA_0615,,,Semliner str. 1,52.6306,12.4558,,,female,adult,,,FALSE,17.7,90,84,0.04,NA,NA,NA,NA,NA,NA,0.33,0,0,0,0,0,0,0,0,0
AA_0616,,,Gusower feldweg 5,52.2584,13.7311,,,female,pregnant,,,FALSE,20,85,74,0.04,NA,NA,NA,NA,NA,NA,0.42,0,0,0,0,0,0,0,0,0
AA_0617,,,Felchower str. 15,53.0059,14.0801,,,female,adult,,,FALSE,18.42,87,79,0.02,NA,NA,NA,NA,NA,NA,0.69,0,34,0,0,0,0,0,0,0
AA_0618,,,Gusower feldweg 5,52.2584,13.7311,,,female,adult,,,FALSE,20.65,87,76,0.04,NA,NA,NA,NA,NA,NA,0.68,0,0,0,0,0,0,0,0,0
AA_0619,,,Gusower feldweg 5,52.2584,13.7311,,,female,pregnant,,,FALSE,24.89,85,79,0.04,NA,NA,NA,NA,5,3,0.83,0,0,0,0,0,0,0,0,0
AA_0620,,,Gusower feldweg 5,52.2584,13.7311,,,female,juvenile,,,FALSE,9.14,63,60,0.01,NA,NA,NA,NA,NA,NA,0.32,0,0,0,0,0,0,0,0,0
AA_0621,,,"Am stadtberg 2, 16278",52.9765,14.0667,,,female,juvenile,,,FALSE,9.44,77,57,0.01,NA,NA,NA,NA,NA,NA,0.08,0,0,0,0,0,0,0,0,0
AA_0622,,,"Dorfstrasse 2, 16359",52.7369,13.6605,,,female,juvenile,,,FALSE,12.89,70,65,0.06,NA,NA,NA,NA,NA,NA,1.3,0,26,0,0,0,0,0,0,0
AA_0623,,,"Dorfstrasse 2, 16359",52.7369,13.6605,,,male,juvenile,,,TRUE,11.63,69,60,0.02,NA,NA,NA,NA,NA,NA,1.07,0,0,0,0,0,0,0,0,0
AA_0624,,,Semliner str. 1,52.6306,12.4558,,,male,juvenile,,,FALSE,11.93,70,72,0.04,NA,NA,NA,NA,NA,NA,0.68,0,0,0,0,0,0,0,0,0
AA_0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
