Transect,State,Address,Code,ID,PIN,Sex,Year,Arrival,Wean,Death,L15,Y,Longitude,Latitude,Dist,Dissection_date,DaysInLab,,BW,L,LCd,Spleen,Left_testis,Right_testis,Testes,Lepid,Seminal_vesicles,Uterus,Ovaria,Grav,Litters,NN,MM,FF,Protocol,ASP,SYP,TM,Taenia taeniformis,Ectoparasites,Note
HZ_BAV,Germany,Lerau 9,LERA9,SK,2951,M,2015,9/22/15,1M,Dissection,,d,12.2875,49.6044444444,,9/22/15,0,,11.88,74,73,,,,,,,,,,,,,,A,,,,,0,
HZ_BAV,Germany,Lerau 9,LERA9,SK,2952,M,2015,9/22/15,1M,Dissection,,d,12.2875,49.6044444444,,9/23/15,1,,21.38,81.7,81.5,0.0853,0.0846,0.0894,0.087,0.0286,0.1368,,,,,,,,A,,,,,NA,
HZ_BAV,Germany,Lerau 9,LERA9,SK,2953,F,2015,9/22/15,1F,Dissection,,,12.2875,49.6044444444,,9/23/15,1,,23.88,88.2,83.5,0.084,,,,,,,0.0104,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Lerau 9,LERA9,SK,2954,M,2015,9/22/15,1M,Dissection,,d,12.2875,49.6044444444,,9/23/15,1,,18.41,81.9,81.3,0.1127,0.0834,0.085,0.0842,0.0221,0.1037,,,,,,,,A,,,,,6,
HZ_BAV,Germany,Letzau,LETZ,SK,2955,F,2015,9/22/15,1F,Dissection,,,12.245,49.6772222222,,9/23/15,1,,20.56,86.3,89.8,0.0755,,,,,,,0.0106,B+,8,,,,A,,,,,0,
HZ_BAV,Germany,Letzau,LETZ,SK,2956,F,2015,9/22/15,1F,Dissection,,,12.245,49.6772222222,,9/23/15,1,,6.67,58.8,66.7,0.0083,,,,,,,,B-,,,,,A,,,,,1,
HZ_BAV,Germany,Letzau,LETZ,SK,2957,F,2015,9/22/15,1F,Dissection,,,12.245,49.6772222222,,9/23/15,1,Rabbits,19.93,89.8,88.9,,,,,,,,0.0092,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Obertresenfeld 3/A,OBERT3A,SK,2958,M,2015,9/22/15,1M,Alive,,d,12.3261111111,49.6544444444,,,,Car shelter,,,,,,,,,,,,,,,,,A,,,,,NA,
HZ_BAV,Germany,Obertresenfeld 3/B,OBERT3B,SK,2959,F,2015,9/22/15,1F,Alive,,,12.3277777778,49.6538888889,,,,Cow house,,,,,,,,,,,,,,,,,A,,,,,NA,
HZ_BAV,Germany,Obertresenfeld 3/A,OBERT3A,SK,2960,F,2015,9/22/15,1F,Alive,,,12.3261111111,49.6544444444,,,,Car shelter,,,,,,,,,,,,,,,,,A,,,,,NA,
HZ_BAV,Germany,Obertresenfeld 3/A,OBERT3A,SK,2961,M,2015,9/22/15,1M,Alive,,m,12.3261111111,49.6544444444,,,,Car shelter,,,,,,,,,,,,,,,,,A,,,,,NA,
HZ_BAV,Germany,Oedenthal,OEDE,SK,2962,F,2015,9/22/15,1F,Dissection,,,12.2388888889,49.6438888889,,9/23/15,1,Geese,13.61,77.7,85.7,0.0348,,,,,,,0.0057,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Obernankau 8,OBERN8,SK,2963,F,2015,9/22/15,1F,Dissection,,,12.2997222222,49.5861111111,,9/23/15,1,Hen house,15.73,76.5,80.3,0.0307,,,,,,,0.0069,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Obernankau 8,OBERN8,SK,2964,F,2015,9/22/15,1F,Dissection,,,12.2997222222,49.5861111111,,9/23/15,1,Horses,19.38,83.9,83.8,0.0328,0.0306,,,,,,0.0106,B+,5,,,,A,,,,,0,
HZ_BAV,Germany,Geisling 7,GEISL7,SK,2965,F,2015,9/22/15,1F,Dissection,,,12.3166666667,48.9716666667,,9/23/15,1,,21.48,88.1,78.6,0.0415,,,,,,,0.0124,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Obernankau 8,OBERN8,SK,2966,F,2015,9/23/15,1F,Dissection,,,12.2997222222,49.5861111111,,9/24/15,1,Hen house,15.25,76.4,79.4,0.0328,,,,,,,0.0067,B-,,,,,A,,,,,0,
HZ_BAV,Germany,Tiefenbach,TIEF28,SK,2967,M,2015,9/23/15,1M,Dissection,,m,12.5788888889,49.4377777778,,9/24/15,1,,17.21,75.3,88.1,0.0642,0.0423,0.0466,0.0445,0.0263,0.1975,,,,,,,,A,,,,,0,
HZ_BAV,Germany,Zumhof 16,ZUM16,SK,2968,F,2015,9/23/15,1F,Dissection,,,12.4319444444,49.06,,9/24/15,1,,11.45,67.2,,0.0564,,,,,,,0.004,B-,,,,,A,,,,,1,
