HZ,Continent,State,Country,Address,Code,Latitude,Longitude,Who,When,X_Km,Y_Km,Region,DistMM,Males,Females,Sum,DD,DyM,MM,Note,Sampling site,Site detail,WEB Adresa
HZ_BAV,Europe,Germany,Bavaria,Bauhof 5,BAUH5,49.3517,12.5056,Terka Králová,HZ15,,,DyM,,2,1,3,,3,,,"Bauhof 5, 92444 Rötz","Mr. Schneider, chicken",
HZ_BAV,Europe,Germany,Bavaria,Dünzling 3,DUNZL3,48.8858,12.1133,Emanuel Heitlinger,HZ15,,,DyM,,1,,1,,1,,,"Dünzling, Thalmassinger Straße 3",,
HZ_BAV,Europe,Germany,Bavaria,Eckendorf 5,ECKD5,49.4467,12.2325,Bára Vošlajerová,HZ15,,,DD,,2,1,3,3,,,,"Eckendorf 5, Eckendorf 92507 Nabburg",,
HZ_BAV,Europe,Germany,Bavaria,Eitenzell 8,EITEN8,49.0508,12.4631,Jana Funk,HZ15,,,MM,,1,,1,,,1,,"Eitenzell 8, 93191 Redtenbach",,
HZ_BAV,Europe,Germany,Bavaria,Eltheim 3,ELTH3,48.9845348,12.3108,Emanuel Heitlinger,HZ15,,,MM,,1,,1,,,1,"CHECK IT, PLEASE","Eltheim, Kapellenstrasse 3, Barbing",,
HZ_BAV,Europe,Germany,Bavaria,Engelsberg 1,ENGEL1,49.0919,12.3844,Jana Funk,HZ15,,,DyM,,6,,6,,6,,,"Engelsberg 1, 93179 Brennberg",,
HZ_BAV,Europe,Germany,Bavaria,Fuchsendorf 5,FUCHS5,49.5044,12.2731,Bára Vošlajerová,HZ15,,,DyM,,1,,1,,1,,,"Fuchsendorf 5, 92536 Pfreimd",,
HZ_BAV,Europe,Germany,Bavaria,"Gailsbach, Auweg 2",GAILAU2,48.8861,12.2347,Emanuel Heitlinger,HZ15,,,MM,,1,,1,,,1,,"Gailsbach, Auweg 2, 93095 Hagelstadt",,
HZ_BAV,Europe,Germany,Bavaria,"Gailsbach, Auweg 3",GAILAU3,48.8856,12.2356,Emanuel Heitlinger,HZ15,,,MM,,7,6,13,,,13,,"Gailsbach, Auweg 3, 93095 Hagelstadt",,
HZ_BAV,Europe,Germany,Bavaria,"Gailsbach, Auweg 9",GAILAU9,48.8847,12.2361,Emanuel Heitlinger,HZ15,,,MM,,2,3,5,,,5,,"Gailsbach, Auweg 9, 93095 Hagelstadt",,
HZ_BAV,Europe,Germany,Bavaria,"Gailsbach, Dorfstrasse 8",GAILDS8,48.8864,12.2339,Emanuel Heitlinger,HZ15,,,MM,,1,1,2,,,2,,"Gailsbach, Dorfstraße 8, 93095 Hagelstadt",,
HZ_BAV,Europe,Germany,Bavaria,Geisling 7,GEISL7,48.9717,12.3167,Emanuel Heitlinger,HZ15,,,MM,,1,3,4,,,4,,"Geisling, Hauptstrasse 7",,
HZ_BAV,Europe,Germany,Bavaria,Gfäll 9,GFALL9,49.1017,12.4203,Jana Funk,HZ15,,,MM,,1,,1,,,1,,"Gfäll, Kirchstrasse 9, 93167 Falkenstein",,
HZ_BAV,Europe,Germany,Bavaria,Gottschalling,GOTT,47.7883,11.9839,Ludo & Oli,HZ15,,,MM,,,2,2,,,2,1 mummy,"Gottschalling 5, 83075 Bad Feilnbach",,
HZ_BAV,Europe,Germany,Bavaria,Grassersdorf 12,GRAS12,49.3669,12.5228,Terka Králová,HZ15,,,DD,,2,2,4,4,,,,"Grassersdorf 12, 92444 Rötz",,
HZ_BAV,Europe,Germany,Bavaria,Grossbergerdorf 9,GROSB9,49.2508,12.6325,Terka Králová,HZ15,,,MM,,1,1,2,,,2,,"Großbergerdorf, Ortsstraße 9, 93482 Pemfling",,
HZ_BAV,Europe,Germany,Bavaria,Gschwendt 43a,GSCHW,48.8558,12.0689,Emanuel Heitlinger,HZ15,,,DyM,,3,1,4,,4,,,"Gschwendt 43a, 84085 Langquait",,
HZ_BAV,Europe,Germany,Bavaria,Guthof 1,GUTH1,49.1275,12.5128,Jana Funk,HZ15,,,MM,,,3,3,,,3,"CHECK IT, PLEASE","Guthof 1, 93185 Michelsneukirchen",,
HZ_BAV,Europe,Germany,Bavaria,Hetzmannsdorf 18,HETZ18,49.3519,12.5256,Terka Králová,HZ15,,,DyM,,1,1,2,,2,,,"Hetzmannsdorf 18, 92444 Rötz","Horses, rabbits",
HZ_BAV,Europe,Germany,Bavaria,Hof 12,HOF12,49.4636,12.4069,Terka Králová,HZ15,,,DyM,,1,1,2,,2,,,"Hof 12, 92526 Oberviechtach","Cows, rabbits, chicken, ducks",
HZ_BAV,Europe,Germany,Bavaria,Jagerhaus 1,JAGE1,48.9497,12.3106,Emanuel Heitlinger,HZ15,,,MM,,2,1,3,,,3,,"Jagerhaus 1, Mintraching",,
HZ_BAV,Europe,Germany,Bavaria,Klessing 2,KLESS2,49.1528,12.5028,Jana Funk,HZ15,,,MM,,2,7,9,,,9,,"Klessing 2, 93426 Roding, Germany",,
HZ_BAV,Europe,Germany,Bavaria,Lerau 9,LERA9,49.6044,12.2875,Bára Vošlajerová,HZ15,,,DyM,,11,12,23,,23,,,"Lerau 9, Leuchtenberg, Germany ",Barn - ground+attic,
HZ_BAV,Europe,Germany,Bavaria,Letzau,LETZ,49.6772,12.245,Bára Vošlajerová,HZ15,,,DyM,,3,12,15,,15,,,,Rabbits,
HZ_BAV,Europe,Germany,Bavaria,Loidsberg 5,LOID5,49.0664,12.3836,Jana Funk,HZ15,,,MM,,3,7,10,,,10,,"Loidsberg 5, Brennberg",,
HZ_BAV,Europe,Germany,Bavaria,Luckenpaint,LUCK,48.894,12.135,Emanuel Heitlinger,HZ15,,,,,1,2,3,,,,to be PLACED,Luckenpaint,,
HZ_BAV,Europe,Germany,Bavaria,Maierhof 5,MAIEH5,48.0931,12.4347,Ludo & Oli,HZ15,,,MM,,3,1,4,,,4,,"Maierhof 5, 83530 Schnaitsee",,
HZ_BAV,Europe,Germany,Bavaria,Mattenzell 11,MATT11,49.1144,12.4356,Jana Funk,HZ15,,,MM,,2,3,5,,,5,"was Mattenzell 7 on cages/protocols, this is however different house","Mattenzell 11, 93199 Zell/Mattenzell/Cham",,
HZ_BAV,Europe,Germany,Bavaria,Michelstahl 17,MICH17,49.4264,12.5931,Terka Králová,HZ15,,,DyM,,,1,1,,1,,,"Michelsthal 17, 93464 Tiefenbach",Cows,
HZ_BAV,Europe,Germany,Bavaria,Moosham 18,MOOSH,48.9256,12.2672,Emanuel Heitlinger,HZ15,,,MM,,1,5,6,,,6,,"Moosham, Langenerlinger Strasse 18, 93098",,
HZ_BAV,Europe,Germany,Bavaria,Moosmühle 1,MOOSM,48.9678,12.3481,Emanuel Heitlinger,HZ15,,,MM,,2,,2,,,2,"CHECK IT, PLEASE","Moosmühle 1, 93102 Pfatter",,
HZ_BAV,Europe,Germany,Bavaria,Münchshof 2,MUNSF2,49.3619,12.1178,Bára Vošlajerová,HZ15,,,DD,,2,1,3,3,,,,"Münchshöf 2, Münchshöf 92421 Schwandorf",,
HZ_BAV,Europe,Germany,Bavaria,Neuallkofen 2,NEUALL,48.9719,12.2675,Emanuel Heitlinger,HZ15,,,MM,,1,2,3,,,3,,"Neuallkofen, Fasanenweg 2, 93098 Mintraching",,
HZ_BAV,Europe,Germany,Bavaria,Neusath 78,NEUS78,49.4639,12.2125,Bára Vošlajerová,HZ15,,,DyM,,1,1,2,,2,,,"Neusath 78, 92507 Nabburg",,
