"Pos","Name","No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR"
"A11","IRG6A",0,"","","",""
"B11","CXCR3",0,"","","",""
"C11","IL-12rb1",0,"","","",""
"D11","B-actin",0,"","","",""
"E11","GAPDH",1,79.9,"","",""
"A1","AA_0397",0,"","","",""
"A2","AA_0397",0,"","","",""
"B1","AA_0431",1,82.8,"",82.8,0.00
"B2","AA_0431",1,82.8,"",82.8,0.00
"C1","AA_0446",1,84.3,"",84.1,0.200
"C2","AA_0446",1,83.9,"",84.1,0.200
"D1","AA_0452",1,84.8,"",84.6,0.400
"D2","AA_0452",1,84.3,"",84.6,0.400
"E1","AA_0360",1,84.5,"",84.4,0.200
"E2","AA_0360",1,84.3,"",84.4,0.200
"F1","AA_0376",1,84.6,"",84.5,0.100
"F2","AA_0376",1,84.4,"",84.5,0.100
"G1","AA_0079",1,84.9,"",84.8,0.100
"G2","AA_0079",1,84.7,"",84.8,0.100
"H1","AA_0128",1,85.6,"",85.3,0.500
"H2","AA_0128",1,85.0,"",85.3,0.500
"A3","AA_0397",0,"","","",""
"A4","AA_0397",0,"","","",""
"B3","AA_0431",1,79.5,"",79.6,0.100
"B4","AA_0431",1,79.7,"",79.6,0.100
"C3","AA_0446",2,80.7,82.9,"","<undefined>"
"C4","AA_0446",2,80.7,82.8,"","<undefined>"
"D3","AA_0452",2,81.0,83.2,81.1,"<undefined>"
"D4","AA_0452",1,81.1,"",81.1,0.00
"E3","AA_0360",2,80.7,83.3,83.1,"<undefined>"
"E4","AA_0360",1,83.1,"",83.1,0.00
"F3","AA_0376",1,80.9,"",82.1,1.70
"F4","AA_0376",1,83.3,"",82.1,1.70
"G3","AA_0079",1,83.4,"",83.4,0.00
"G4","AA_0079",2,81.0,83.5,83.4,"<undefined>"
"H3","AA_0128",1,83.6,"",83.6,0.00
"H4","AA_0128",2,81.1,83.5,83.6,"<undefined>"
"A5","AA_0397",0,"","","",""
"A6","AA_0397",0,"","","",""
"B5","AA_0431",1,84.0,"",83.8,0.300
"B6","AA_0431",1,83.6,"",83.8,0.300
"C5","AA_0446",1,85.5,"",85.6,0.00
"C6","AA_0446",1,85.6,"",85.6,0.00
"D5","AA_0452",1,86.0,"",86.0,0.100
"D6","AA_0452",1,85.9,"",86.0,0.100
"E5","AA_0360",1,85.8,"",85.8,0.00
"E6","AA_0360",1,85.8,"",85.8,0.00
"F5","AA_0376",1,85.9,"",85.9,0.00
"F6","AA_0376",1,85.9,"",85.9,0.00
"G5","AA_0079",1,86.4,"",86.4,0.00
"G6","AA_0079",1,86.3,"",86.4,0.00
"H5","AA_0128",1,86.4,"",86.4,0.00
"H6","AA_0128",1,86.4,"",86.4,0.00
"A7","AA_0397",0,"","","",""
"A8","AA_0397",0,"","","",""
"B7","AA_0431",0,"","",77.6,""
"B8","AA_0431",1,77.6,"",77.6,0.00
"C7","AA_0446",0,"","",78.9,""
"C8","AA_0446",1,78.9,"",78.9,0.00
"D7","AA_0452",1,79.9,"",79.6,0.400
"D8","AA_0452",1,79.4,"",79.6,0.400
"E7","AA_0360",0,"","",79.5,""
"E8","AA_0360",1,79.5,"",79.5,0.00
"F7","AA_0376",0,"","",79.9,""
"F8","AA_0376",1,79.9,"",79.9,0.00
"G7","AA_0079",1,80.4,"",80.3,0.100
"G8","AA_0079",1,80.3,"",80.3,0.100
"H7","AA_0128",2,79.0,81.0,80.3,"<undefined>"
"H8","AA_0128",1,80.3,"",80.3,0.00
"A9","AA_0397",0,"","","",""
"A10","AA_0397",0,"","","",""
"B9","AA_0431",1,78.3,"",77.6,1.00
"B10","AA_0431",1,76.9,"",77.6,1.00
"C9","AA_0446",1,78.9,"",78.7,0.300
"C10","AA_0446",1,78.4,"",78.7,0.300
"D9","AA_0452",1,79.9,"",79.7,0.200
"D10","AA_0452",1,79.5,"",79.7,0.200
"E9","AA_0360",1,80.2,"",80.1,0.200
"E10","AA_0360",1,80.0,"",80.1,0.200
"F9","AA_0376",1,80.4,"",80.3,0.100
"F10","AA_0376",1,80.3,"",80.3,0.100
"G9","AA_0079",1,80.5,"",80.0,0.600
"G10","AA_0079",1,79.6,"",80.0,0.600
"H9","AA_0128",1,80.7,"",80.6,0.200
"H10","AA_0128",1,80.5,"",80.6,0.200

"Main Assay","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay CXCR3","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay IRG6","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay IL-12","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay GAPDH","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Subassay B-actin","Analysis Parameters"
"Type of Application","Melting Curve"
"Dye(s)","SYBR"
"Inverted Data","OFF"
