Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
A1,CEWE_SK_3185,6.91,9.22,3.47,1,,,mouse
A2,CEWE_SK_3185,7.56,9.22,3.47,1,,,mouse
A3,CEWE_SK_3185,13.21,9.22,3.47,1,,,mouse
A4,CEWE_SK_3185,31.81,31.71,0.82,1,,,eimeria
A5,CEWE_SK_3185,32.47,31.71,0.82,1,,,eimeria
A6,CEWE_SK_3185,30.84,31.71,0.82,1,,,eimeria
A7,CEWE_SK_2827,5.29,9.91,7.65,1,,,mouse
A8,CEWE_SK_2827,5.71,9.91,7.65,1,,,mouse
A9,CEWE_SK_2827,18.74,9.91,7.65,1,,,mouse
A10,CEWE_SK_2827,35.47,33.41,1.79,1,,,eimeria
A11,CEWE_SK_2827,32.46,33.41,1.79,1,,,eimeria
A12,CEWE_SK_2827,32.3,33.41,1.79,1,,,eimeria
B1,CEWE_SK_3186,5.72,12.98,6.62,1,,,mouse
B2,CEWE_SK_3186,14.54,12.98,6.62,1,,,mouse
B3,CEWE_SK_3186,18.69,12.98,6.62,1,,,mouse
B4,CEWE_SK_3186,21.07,21.14,0.11,1,,,eimeria
B5,CEWE_SK_3186,21.08,21.14,0.11,1,,,eimeria
B6,CEWE_SK_3186,21.26,21.14,0.11,1,,,eimeria
B7,CEWE_SK_2829,22.88,22.61,0.24,1,,,mouse
B8,CEWE_SK_2829,22.48,22.61,0.24,1,,,mouse
B9,CEWE_SK_2829,22.46,22.61,0.24,1,,,mouse
B10,CEWE_SK_2829,,35.44,0.21,1,,,eimeria
B11,CEWE_SK_2829,35.58,35.44,0.21,1,,,eimeria
B12,CEWE_SK_2829,35.29,35.44,0.21,1,,,eimeria
C1,CEWE_SK_3197,18.13,19.67,1.4,1,,,mouse
C2,CEWE_SK_3197,20.02,19.67,1.4,1,,,mouse
C3,CEWE_SK_3197,20.87,19.67,1.4,1,,,mouse
C4,CEWE_SK_3197,31.47,31.36,0.16,1,,,eimeria
C5,CEWE_SK_3197,31.44,31.36,0.16,1,,,eimeria
