# File Name: qPCR_eimeria_field_faeces_FW_26012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-26 12:15:42 PM UTC
# Run End Date/Time: 2022-01-26 01:36:23 PM UTC
# Run Duration: 80 minutes 40 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:52:58 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:53:22 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","170817.55","46994.79","200992.0"
"2","A2","1","182628.03","49733.234","213217.08"
"3","A3","1","172652.0","50274.734","210897.0"
"4","A4","1","180039.6","46678.895","178272.11"
"5","A5","1","158793.11","45331.938","175921.56"
"6","A6","1","171247.3","47508.36","190693.75"
"7","A7","1","21686.654","-235.90024","1362.8698"
"8","A8","1","21678.607","873.7954","1148.262"
"9","A9","1","16820.512","106.73386","1795.1041"
"10","A10","1","22798.39","1301.9866","2204.2395"
"11","A11","1","31129.287","1041.972","1492.6981"
"12","A12","1","29313.12","890.2357","1738.6365"
"13","B1","1","216757.27","55485.69","200994.05"
"14","B2","1","215619.66","54796.09","200729.19"
"15","B3","1","209468.66","52988.49","196303.12"
"16","B4","1","206944.5","49763.02","173195.11"
"17","B5","1","209618.47","51278.23","182876.61"
"18","B6","1","191576.97","48175.848","177892.16"
"19","B7","1","41494.46","3086.6465","3912.0227"
"20","B8","1","36162.52","1288.2742","3025.5117"
"21","B9","1","39189.453","2018.2766","1812.6554"
"22","B10","1","31688.328","2527.773","3003.0564"
"23","B11","1","32753.322","1707.9208","2567.9473"
"24","B12","1","20548.05","1157.0026","-716.909"
"25","C1","1","234820.2","61328.86","217967.98"
"26","C2","1","248141.08","61684.88","215428.2"
"27","C3","1","223267.77","55799.867","199750.44"
"28","C4","1","120707.51","41389.363","203660.95"
"29","C5","1","106469.766","37659.957","189307.0"
"30","C6","1","95267.8","34003.11","170825.89"
"31","C7","1","31130.668","2463.817","4107.6226"
"32","C8","1","33170.63","2619.5688","2588.6204"
"33","C9","1","22978.166","1728.0753","2038.8522"
"34","C10","1","21775.436","1068.371","381.44263"
"35","C11","1","22690.215","938.30005","1313.3175"
"36","C12","1","23616.773","834.1729","464.58835"
"37","D1","1","234227.28","60387.46","210133.73"
"38","D2","1","228214.98","56428.4","198215.08"
"39","D3","1","238039.95","58174.87","209016.84"
"40","D4","1","34954.402","2383.7285","3251.9084"
"41","D5","1","32501.834","2474.6792","3297.7102"
"42","D6","1","18368.062","909.05945","1914.1013"
"43","D7","1","36904.582","3272.971","2615.3833"
"44","D8","1","24741.78","521.48804","1872.6295"
"45","D9","1","22597.48","722.9485","2065.397"
"46","D10","1","29803.326","2010.5168","1807.8461"
"47","D11","1","22103.662","1741.9739","1419.0276"
"48","D12","1","22907.645","1691.1044","1633.1124"
"49","E1","1","236101.48","59873.723","224979.23"
"50","E2","1","231916.75","58600.824","219679.52"
"51","E3","1","156419.67","41220.156","157515.92"
"52","E4","1","28348.797","1848.667","1955.5464"
"53","E5","1","27187.67","1146.8105","2910.5525"
"54","E6","1","22675.371","1317.2906","2436.957"
"55","E7","1","26681.943","1785.9015","3042.8499"
"56","E8","1","20975.527","1094.7291","894.08765"
"57","E9","1","18789.998","1623.9221","1488.7933"
"58","E10","1","25572.93","2022.2306","1468.4747"
"59","E11","1","26444.484","2460.3972","2314.8145"
"60","E12","1","44609.17","4837.98","2762.495"
"61","F1","1","219262.05","54265.566","205735.72"
"62","F2","1","203720.94","52890.797","204929.38"
"63","F3","1","176588.67","45229.008","177202.7"
"64","F4","1","27220.72","1500.4218","2724.2554"
"65","F5","1","24888.967","2242.455","2285.6067"
"66","F6","1","40481.64","4009.421","4383.637"
"67","F7","1","22575.91","1577.982","1946.6914"
"68","F8","1","17079.871","682.10284","1248.5465"
"69","F9","1","21917.254","1005.5479","1745.9976"
"70","F10","1","18479.799","1374.46","760.2192"
"71","F11","1","28312.006","1907.791","1734.2748"
"72","F12","1","43996.863","3625.34","1305.3005"
"73","G1","1","204751.33","54262.633","205092.52"
"74","G2","1","213563.98","57834.344","216622.6"
"75","G3","1","185903.81","50174.383","190015.12"
"76","G4","1","29181.719","2174.0042","1620.4149"
"77","G5","1","25181.906","1557.638","2676.3247"
"78","G6","1","22346.906","1300.9108","2381.4182"
"79","G7","1","28071.574","2895.973","4023.987"
"80","G8","1","31785.105","2768.782","1775.1309"
"81","G9","1","19435.086","920.8122","2196.9355"
"82","G10","1","19171.898","1767.4753","796.01776"
"83","G11","1","26559.13","2109.207","2043.9769"
"84","G12","1","26968.031","838.55804","344.1102"
"85","H1","1","207236.03","58591.34","234711.81"
"86","H2","1","189993.31","52253.26","214724.23"
"87","H3","1","178501.4","48826.098","200281.33"
"88","H4","1","25976.06","2191.5244","1812.1073"
"89","H5","1","33365.266","2322.016","3400.292"
"90","H6","1","24213.408","962.3952","1998.3727"
"91","H7","1","37943.348","2892.4868","3505.278"
"92","H8","1","16058.618","259.85593","1545.5499"
"93","H9","1","12739.017","-487.88922","1420.2024"
"94","H10","1","31981.135","2227.8665","2736.9045"
"95","H11","1","25213.217","617.18896","1693.3918"
"96","H12","1","50941.613","-122.3914","-725.7502"
"1","A1","1","104139.055","35990.445","193815.77"
"2","A2","1","110845.8","38973.62","205078.31"
"3","A3","1","101847.79","40203.977","204040.52"
"4","A4","1","101598.06","35266.06","169692.2"
"5","A5","1","78255.38","33789.47","166875.38"
"6","A6","1","86680.1","36711.867","180852.73"
"7","A7","1","18282.822","-564.4916","746.4239"
"8","A8","1","19864.629","1025.8715","332.09088"
"9","A9","1","13210.662","-45.54962","1280.031"
"10","A10","1","20100.285","1216.4535","2157.2456"
"11","A11","1","28122.326","771.71564","1344.7245"
"12","A12","1","26715.055","542.581","1185.6348"
"13","B1","1","120713.96","40002.734","193307.77"
"14","B2","1","117995.32","39810.793","193470.89"
"15","B3","1","111320.26","39449.074","187758.64"
"16","B4","1","112545.57","36732.168","165221.36"
"17","B5","1","111633.555","37289.234","174936.61"
"18","B6","1","98765.875","36415.47","171762.34"
"19","B7","1","36489.13","2332.8394","3847.2297"
"20","B8","1","31272.893","1213.0789","2644.218"
"21","B9","1","34202.066","995.87115","1517.3381"
"22","B10","1","27128.627","1684.0485","2867.8298"
"23","B11","1","29868.889","1488.4111","2419.9111"
"24","B12","1","15382.639","335.98355","-463.4205"
"25","C1","1","121873.12","42375.965","208084.58"
"26","C2","1","136048.83","44937.594","206441.25"
"27","C3","1","119036.42","41234.645","191828.84"
"28","C4","1","99637.6","39196.31","195820.33"
"29","C5","1","88143.06","36058.83","180960.61"
"30","C6","1","77470.99","33318.715","164742.45"
"31","C7","1","28785.195","1869.7258","3901.156"
"32","C8","1","29560.152","2512.4495","2246.5986"
"33","C9","1","20726.693","1686.4846","1972.9233"
"34","C10","1","18699.746","536.61255","805.71893"
"35","C11","1","20761.34","1114.2003","1229.5269"
"36","C12","1","20176.264","1194.0901","404.9903"
"37","D1","1","124408.625","43237.35","201807.83"
"38","D2","1","119585.77","41396.3","190163.94"
"39","D3","1","123825.45","43397.895","200359.83"
"40","D4","1","33351.906","2376.0374","3241.2185"
"41","D5","1","29534.525","2281.2478","2789.2832"
"42","D6","1","16910.768","849.07654","1906.4476"
"43","D7","1","32818.29","3124.4656","2565.728"
"44","D8","1","23157.67","286.35794","2064.4834"
"45","D9","1","21049.223","801.677","2234.7427"
"46","D10","1","25687.336","1960.8906","2093.6804"
"47","D11","1","19977.42","1482.919","1981.0697"
"48","D12","1","20564.06","1353.1415","1611.1212"
"49","E1","1","129987.16","44154.992","215884.23"
"50","E2","1","129824.25","45023.8","211258.12"
"51","E3","1","83685.49","31618.006","151343.05"
"52","E4","1","24291.662","1425.325","1963.8729"
"53","E5","1","22530.742","802.4082","2948.6008"
"54","E6","1","20288.514","1316.4954","2495.771"
"55","E7","1","23324.545","1329.3636","3251.7383"
"56","E8","1","18733.809","834.5315","861.6223"
"57","E9","1","16376.394","753.08435","1439.7163"
"58","E10","1","22947.062","2112.0508","1006.5623"
"59","E11","1","22818.395","1306.1317","2583.8647"
"60","E12","1","37884.27","3659.165","2716.4624"
"61","F1","1","131792.73","41851.367","197402.03"
"62","F2","1","119572.26","41606.527","198958.78"
"63","F3","1","102911.37","36235.39","169396.4"
"64","F4","1","23282.506","1102.4403","2484.099"
"65","F5","1","22406.566","1550.3201","2138.0608"
"66","F6","1","35095.89","3424.6296","4346.993"
"67","F7","1","21287.807","1104.544","1682.7257"
"68","F8","1","14384.321","530.4577","822.504"
"69","F9","1","19400.38","988.11707","1608.5865"
"70","F10","1","15877.448","1114.0167","792.0141"
"71","F11","1","24973.186","836.4197","1776.8778"
"72","F12","1","36731.41","2496.3313","1607.8876"
"73","G1","1","119047.69","40442.05","196604.27"
"74","G2","1","120461.836","42163.75","205663.38"
"75","G3","1","102363.766","38371.66","180745.47"
"76","G4","1","25543.838","1934.7216","1789.4502"
"77","G5","1","22873.1","1830.7969","2540.2588"
"78","G6","1","19418.393","519.1857","2291.7114"
"79","G7","1","24133.463","2336.5435","3468.1921"
"80","G8","1","28088.768","1823.3542","1601.4941"
"81","G9","1","17114.535","740.9549","1799.4811"
"82","G10","1","16816.03","1279.8931","515.4177"
"83","G11","1","22854.229","952.9182","1862.6234"
"84","G12","1","24141.344","248.70764","312.1897"
"85","H1","1","127054.62","45921.17","225829.73"
"86","H2","1","114005.01","42613.21","206224.77"
"87","H3","1","107795.734","40234.227","192790.67"
"88","H4","1","22161.438","2279.6946","1553.8114"
"89","H5","1","28129.2","2142.7058","2569.2102"
"90","H6","1","20273.844","606.2333","1670.2876"
"91","H7","1","31320.717","2633.7664","2473.0908"
"92","H8","1","12042.763","298.66867","994.65906"
"93","H9","1","10111.817","-45.80087","1295.1492"
"94","H10","1","26576.242","1926.687","2174.0862"
"95","H11","1","21401.623","539.32074","1398.4261"
"96","H12","1","43616.01","-823.9477","-1479.0762"
"1","A1","2","178105.61","48804.78","203080.52"
"2","A2","2","192747.17","51510.63","219559.02"
"3","A3","2","181131.2","51356.465","214058.14"
"4","A4","2","187586.45","47706.38","178684.38"
"5","A5","2","168230.28","46782.3","181290.28"
"6","A6","2","178980.94","48738.9","190702.97"
"7","A7","2","20016.05","-439.0661","732.5102"
"8","A8","2","21980.215","535.09595","1093.0312"
"9","A9","2","15459.746","131.23575","1465.0208"
"10","A10","2","23320.928","1623.0828","2400.8323"
"11","A11","2","30327.605","238.96017","2272.4995"
"12","A12","2","29318.375","1500.6356","1784.7465"
"13","B1","2","228095.19","56812.16","202431.17"
"14","B2","2","226612.2","56363.69","202411.19"
"15","B3","2","221813.17","54510.734","197805.61"
"16","B4","2","213582.27","50009.465","173748.52"
"17","B5","2","216116.3","51574.402","183711.69"
