Pos,Name,"No. Tm SYBR","Tm x (°C) SYBR","Tm y (°C) SYBR","Mean SYBR","Dev. SYBR" , QPCRmc06.04.2018.XLS.csv
A1,CEWE_AA_0237,1,80.7,,, , QPCRmc06.04.2018.XLS.csv
A2,CEWE_AA_0237,1,80.8,,, , QPCRmc06.04.2018.XLS.csv
A3,CEWE_AA_0237,1,79.6,,, , QPCRmc06.04.2018.XLS.csv
A4,CEWE_AA_0237,1,75.5,,, , QPCRmc06.04.2018.XLS.csv
A5,CEWE_AA_0237,1,75.7,,, , QPCRmc06.04.2018.XLS.csv
A6,CEWE_AA_0237,1,75.6,,, , QPCRmc06.04.2018.XLS.csv
A7,ILWE_AA_0237,1,80.6,,, , QPCRmc06.04.2018.XLS.csv
A8,ILWE_AA_0237,1,78.2,,, , QPCRmc06.04.2018.XLS.csv
A9,ILWE_AA_0237,1,80.6,,, , QPCRmc06.04.2018.XLS.csv
A10,ILWE_AA_0237,0,,,, , QPCRmc06.04.2018.XLS.csv
A11,ILWE_AA_0237,0,,,, , QPCRmc06.04.2018.XLS.csv
A12,ILWE_AA_0237,0,,,, , QPCRmc06.04.2018.XLS.csv
B1,CEWE_AA_0238,1,79.2,,, , QPCRmc06.04.2018.XLS.csv
B2,CEWE_AA_0238,1,80.7,,, , QPCRmc06.04.2018.XLS.csv
B3,CEWE_AA_0238,1,79.6,,, , QPCRmc06.04.2018.XLS.csv
B4,CEWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B5,CEWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B6,CEWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B7,ILWE_AA_0238,1,77.9,,, , QPCRmc06.04.2018.XLS.csv
B8,ILWE_AA_0238,1,78.2,,, , QPCRmc06.04.2018.XLS.csv
B9,ILWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B10,ILWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B11,ILWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
B12,ILWE_AA_0238,0,,,, , QPCRmc06.04.2018.XLS.csv
