Pos,Name,"Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR [Copies]","Amount Mean SYBR","Amount Dev. SYBR","Target SYBR"
A1,CEWE_AA_0311,20.6,18.87,1.97,1,,,mouse
A2,CEWE_AA_0311,16.73,18.87,1.97,1,,,mouse
A3,CEWE_AA_0311,19.26,18.87,1.97,1,,,mouse
A4,CEWE_AA_0311,,34.47,1.49,1,,,eimeria
A5,CEWE_AA_0311,35.52,34.47,1.49,1,,,eimeria
A6,CEWE_AA_0311,33.42,34.47,1.49,1,,,eimeria
A7,ILWE_AA_0311,20.75,20.68,0.07,1,,,mouse
A8,ILWE_AA_0311,20.62,20.68,0.07,1,,,mouse
A9,ILWE_AA_0311,20.66,20.68,0.07,1,,,mouse
A10,ILWE_AA_0311,36,36.16,0.37,1,,,eimeria
A11,ILWE_AA_0311,36.59,36.16,0.37,1,,,eimeria
A12,ILWE_AA_0311,35.9,36.16,0.37,1,,,eimeria
B1,CEWE_AA_0312,23.17,21.58,1.39,1,,,mouse
B2,CEWE_AA_0312,20.68,21.58,1.39,1,,,mouse
B3,CEWE_AA_0312,20.88,21.58,1.39,1,,,mouse
B4,CEWE_AA_0312,,32.99,0.35,1,,,eimeria
B5,CEWE_AA_0312,33.24,32.99,0.35,1,,,eimeria
B6,CEWE_AA_0312,32.74,32.99,0.35,1,,,eimeria
B7,ILWE_AA_0312,23.83,23.39,0.48,1,,,mouse
B8,ILWE_AA_0312,23.48,23.39,0.48,1,,,mouse
B9,ILWE_AA_0312,22.88,23.39,0.48,1,,,mouse
B10,ILWE_AA_0312,34.18,34.95,0.94,1,,,eimeria
B11,ILWE_AA_0312,34.68,34.95,0.94,1,,,eimeria
B12,ILWE_AA_0312,35.99,34.95,0.94,1,,,eimeria
C1,CEWE_AA_0313,22.22,21.29,0.81,1,,,mouse
C2,CEWE_AA_0313,20.74,21.29,0.81,1,,,mouse
C3,CEWE_AA_0313,20.92,21.29,0.81,1,,,mouse
C4,CEWE_AA_0313,,33.38,0.64,1,,,eimeria
C5,CEWE_AA_0313,33.83,33.38,0.64,1,,,eimeria
C6,CEWE_AA_0313,32.93,33.38,0.64,1,,,eimeria
C7,ILWE_AA_0313,14.61,16.51,2.01,1,,,mouse
C8,ILWE_AA_0313,16.31,16.51,2.01,1,,,mouse
C9,ILWE_AA_0313,18.6,16.51,2.01,1,,,mouse
C10,ILWE_AA_0313,34.9,34.41,0.58,1,,,eimeria
C11,ILWE_AA_0313,34.56,34.41,0.58,1,,,eimeria
C12,ILWE_AA_0313,33.76,34.41,0.58,1,,,eimeria
D1,CEWE_AA_0314,21.72,21.43,0.25,1,,,mouse
D2,CEWE_AA_0314,21.28,21.43,0.25,1,,,mouse
D3,CEWE_AA_0314,21.29,21.43,0.25,1,,,mouse
D4,CEWE_AA_0314,24.54,24.25,0.27,1,,,eimeria
D5,CEWE_AA_0314,24.02,24.25,0.27,1,,,eimeria
D6,CEWE_AA_0314,24.17,24.25,0.27,1,,,eimeria
D7,ILWE_AA_0314,22.16,21.98,0.16,1,,,mouse
D8,ILWE_AA_0314,21.93,21.98,0.16,1,,,mouse
D9,ILWE_AA_0314,21.85,21.98,0.16,1,,,mouse
