Pos,Name,"Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR [Copies]","Amount Mean SYBR","Amount Dev. SYBR","Target SYBR"
A1,CEWE_AA_0382,20.92,20.9,0.09,1,,,mouse
A2,CEWE_AA_0382,20.96,20.9,0.09,1,,,mouse
A3,CEWE_AA_0382,20.8,20.9,0.09,1,,,mouse
A4,CEWE_AA_0282,30.83,31.46,0.55,1,,,eimeria
A5,CEWE_AA_0282,31.75,31.46,0.55,1,,,eimeria
A6,CEWE_AA_0282,31.81,31.46,0.55,1,,,eimeria
A7,ILWE_AA_0268,21.5,22.59,0.97,1,,,mouse
A8,ILWE_AA_0268,22.94,22.59,0.97,1,,,mouse
A9,ILWE_AA_0268,23.34,22.59,0.97,1,,,mouse
A10,ILWE_AA_0268,34.96,34.97,0.39,1,,,eimeria
A11,ILWE_AA_0268,35.37,34.97,0.39,1,,,eimeria
A12,ILWE_AA_0268,34.58,34.97,0.39,1,,,eimeria
B1,CEWE_AA_0383,20.41,20.49,0.24,1,,,mouse
B2,CEWE_AA_0383,20.29,20.49,0.24,1,,,mouse
B3,CEWE_AA_0383,20.76,20.49,0.24,1,,,mouse
B4,CEWE_AA_0283,30.57,32.36,1.55,1,,,eimeria
B5,CEWE_AA_0283,33.4,32.36,1.55,1,,,eimeria
B6,CEWE_AA_0283,33.1,32.36,1.55,1,,,eimeria
B7,ILWE_AA_0297,20.34,20.64,0.31,1,,,mouse
B8,ILWE_AA_0297,20.62,20.64,0.31,1,,,mouse
B9,ILWE_AA_0297,20.97,20.64,0.31,1,,,mouse
B10,ILWE_AA_0297,32.56,32.48,0.16,1,,,eimeria
B11,ILWE_AA_0297,32.29,32.48,0.16,1,,,eimeria
B12,ILWE_AA_0297,32.59,32.48,0.16,1,,,eimeria
C1,CEWE_AA_0384,20.4,20.49,0.35,1,,,mouse
C2,CEWE_AA_0384,20.2,20.49,0.35,1,,,mouse
C3,CEWE_AA_0384,20.88,20.49,0.35,1,,,mouse
C4,CEWE_AA_0384,35.26,34.12,1.44,1,,,eimeria
C5,CEWE_AA_0384,34.59,34.12,1.44,1,,,eimeria
C6,CEWE_AA_0384,32.5,34.12,1.44,1,,,eimeria
C7,ILWE_AA_0409,21.99,22.51,0.45,1,,,mouse
C8,ILWE_AA_0409,22.78,22.51,0.45,1,,,mouse
C9,ILWE_AA_0409,22.76,22.51,0.45,1,,,mouse
C10,ILWE_AA_0409,36.15,35.89,0.76,1,,,eimeria
C11,ILWE_AA_0409,36.48,35.89,0.76,1,,,eimeria
C12,ILWE_AA_0409,35.02,35.89,0.76,1,,,eimeria
D1,CEWE_AA_0385,20.2,20.3,0.09,1,,,mouse
D2,CEWE_AA_0385,20.37,20.3,0.09,1,,,mouse
D3,CEWE_AA_0385,20.32,20.3,0.09,1,,,mouse
D4,CEWE_AA_0385,35.26,32.8,2.29,1,,,eimeria
D5,CEWE_AA_0385,32.4,32.8,2.29,1,,,eimeria
D6,CEWE_AA_0385,30.74,32.8,2.29,1,,,eimeria
D7,ILWE_AA_0335,21.65,22.27,0.55,1,,,mouse
