Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR
A1,CEWE_AA_0251,23.09,21.16,1.68,1.00,,,mouse
A2,CEWE_AA_0251,20.32,21.16,1.68,1.00,,,mouse
A3,CEWE_AA_0251,20.08,21.16,1.68,1.00,,,mouse
A4,CEWE_AA_0251,,32.22,1.90,1.00,,,eimeria
A5,CEWE_AA_0251,33.56,32.22,1.90,1.00,,,eimeria
A6,CEWE_AA_0251,30.87,32.22,1.90,1.00,,,eimeria
A7,ILWE_AA_0251,22.08,21.68,0.54,1.00,,,mouse
A8,ILWE_AA_0251,21.07,21.68,0.54,1.00,,,mouse
A9,ILWE_AA_0251,21.89,21.68,0.54,1.00,,,mouse
A10,ILWE_AA_0251,,31.74,2.00,1.00,,,eimeria
A11,ILWE_AA_0251,33.16,31.74,2.00,1.00,,,eimeria
A12,ILWE_AA_0251,30.32,31.74,2.00,1.00,,,eimeria
B1,CEWE_AA_0252,22.29,20.66,1.41,1.00,,,mouse
B2,CEWE_AA_0252,19.80,20.66,1.41,1.00,,,mouse
B3,CEWE_AA_0252,19.90,20.66,1.41,1.00,,,mouse
B4,CEWE_AA_0252,33.34,31.71,1.59,1.00,,,eimeria
B5,CEWE_AA_0252,31.62,31.71,1.59,1.00,,,eimeria
B6,CEWE_AA_0252,30.17,31.71,1.59,1.00,,,eimeria
B7,ILWE_AA_0252,22.39,21.88,0.52,1.00,,,mouse
B8,ILWE_AA_0252,21.35,21.88,0.52,1.00,,,mouse
B9,ILWE_AA_0252,21.90,21.88,0.52,1.00,,,mouse
B10,ILWE_AA_0252,33.87,32.75,1.02,1.00,,,eimeria
B11,ILWE_AA_0252,32.52,32.75,1.02,1.00,,,eimeria
B12,ILWE_AA_0252,31.86,32.75,1.02,1.00,,,eimeria
C1,CEWE_AA_0255,22.20,20.77,1.41,1.00,,,mouse
C2,CEWE_AA_0255,19.39,20.77,1.41,1.00,,,mouse
C3,CEWE_AA_0255,20.70,20.77,1.41,1.00,,,mouse
C4,CEWE_AA_0255,34.41,32.26,2.16,1.00,,,eimeria
C5,CEWE_AA_0255,30.08,32.26,2.16,1.00,,,eimeria
C6,CEWE_AA_0255,32.27,32.26,2.16,1.00,,,eimeria
C7,ILWE_AA_0255,21.58,21.07,0.45,1.00,,,mouse
