"","Mouse_ID","delta_ct_MminusE","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","qPCRsummary","qPCRstatus","observer","year"
"1","AA_0211",-5,-8.6,-8.7533333333,"non infected","negative","Mert",2016
"2","AA_0061",-5,-9.6,-8.8866666667,"non infected","negative","Mert",2016
"3","AA_0099",-5,-10.2733333333,-9.8933333333,"non infected","negative","Mert",2016
"4","AA_0178",-5,-8.0866666667,-8.6266666667,"non infected","negative","Mert",2016
"5","AA_0172",-5,-9.2633333333,-8.1333333333,"non infected","negative","Mert",2016
"6","AA_0209",-5,-7.9666666667,-7.4633333333,"non infected","negative","Mert",2016
"7","AA_0170",-5,-8.6833333333,-8.8966666667,"non infected","negative","Mert",2016
"8","AA_0115",-5,-8.51,-8.0266666667,"non infected","negative","Mert",2016
"9","AA_0077",-5,-11.7466666667,-9.7933333333,"non infected","negative","Mert",2016
"10","AA_0156",-5,-9.9933333333,-9.7633333333,"non infected","negative","Mert",2016
"11","AA_0151",-5,-8.6033333333,-8.62,"non infected","negative","Mert",2016
"12","AA_0133",-5,-9.04,-9.3033333333,"non infected","negative","Mert",2016
"13","AA_0110",-5,-10.25,-8.6366666667,"non infected","negative","Mert",2016
"14","AA_0186",-5,-8.4033333333,-7.82,"non infected","negative","Mert",2016
"15","AA_0179",-5,-9.1733333333,-6.1966666667,"non infected","negative","Mert",2016
"16","AA_0155",-5,-9.51,-8.1966666667,"non infected","negative","Mert",2016
"17","AA_0093",-5,-10.33,-9.4833333333,"non infected","negative","Mert",2016
"18","AA_0127",-5,-8.9066666667,-9.0333333333,"non infected","negative","Mert",2016
"19","AA_0196",-5,-8.7866666667,-6.1733333333,"non infected","negative","Mert",2016
"20","AA_0081",-5,-10.6933333333,-6.8133333333,"non infected","negative","Mert",2016
"21","AA_0192",-5,-8.2066666667,-7.4233333333,"non infected","negative","Mert",2016
"22","AA_0205",-5,-8.9133333333,-8.98,"non infected","negative","Mert",2016
"23","AA_0145",-5,-8.61,-8.37,"non infected","negative","Mert",2016
"24","AA_0087",-5,-10.7333333333,-10.6266666667,"non infected","negative","Mert",2016
"25","AA_0207",-5,-9.2433333333,-8.69,"non infected","negative","Mert",2016
"26","AA_0089",-5,-11.2,-10.37,"non infected","negative","Mert",2016
"27","AA_0166",-5,-9.8466666667,-8.21,"non infected","negative","Mert",2016
"28","AA_0137",-5,-9.17,-8.59,"non infected","negative","Mert",2016
"29","AA_0449",-5,-13.21,-14.24,"non infected","negative","Lorenzo",2017
"30","AA_0290",-5,-14.38,-15.91,"non infected","negative","Lorenzo",2017
"31","AA_0281",-5,-15.1166666666667,-10.6166666666667,"non infected","negative","Lorenzo",2017
"32","AA_0457",-5,-10.18,-12.03,"non infected","negative","Lorenzo",2017
"33","AA_0287",-5,-5,-5,"non infected","negative","Lorenzo",2017
"34","AA_0342",-5,-10.91,-9.67,"non infected","negative","Lorenzo",2017
"35","AA_0347",-5,-11.55,-10.955,"non infected","negative","Lorenzo",2017
"36","AA_0422",-5,-12.2,-13.25,"non infected","negative","Lorenzo",2017
"37","AA_0312",-5,-11.56,-11.41,"non infected","negative","Lorenzo",2017
"38","AA_0273",-5,-12.08,-5,"non infected","negative","Lorenzo",2017
"39","AA_0523",-5,-8.57,-6.8,"non infected","negative","Lorenzo",2017
"40","AA_0339",-5,-11.06,-14.46,"non infected","negative","Lorenzo",2017
"41","AA_0440",-5,-12.61,-5,"non infected","negative","Lorenzo",2017
"42","AA_0409",-5,-13.185,-7.05,"non infected","negative","Lorenzo",2017
"43","AA_0275",-5,-12.02,-14.61,"non infected","negative","Lorenzo",2017
"44","AA_0372",-5,-12.96,-11.46,"non infected","negative","Lorenzo",2017
"45","AA_0251",-5,-10.59,-11.06,"non infected","negative","Lorenzo",2017
"46","AA_0292",-5,-5,-12.81,"non infected","negative","Lorenzo",2017
"47","AA_0359",-5,-7.275,-12.38,"non infected","negative","Lorenzo",2017
"48","AA_0333",-5,-14.67,-12.48,"non infected","negative","Lorenzo",2017
"49","AA_0265",-5,-11.04,-12.13,"non infected","negative","Lorenzo",2017
"50","AA_0411",-5,-10.5,-11.6,"non infected","negative","Lorenzo",2017
"51","AA_0321",-5,-10.05,-8.73,"non infected","negative","Lorenzo",2017
"52","AA_0450",-5,-12.78,-10.92,"non infected","negative","Lorenzo",2017
"53","AA_0264",-5,-9.77,-12.19,"non infected","negative","Lorenzo",2017
"54","AA_0385",-5,-12.4,-12.5,"non infected","negative","Lorenzo",2017
"55","AA_0285",-5,-5,-5,"non infected","negative","Lorenzo",2017
"56","AA_0522",-5,-13.8,-10.68,"non infected","negative","Lorenzo",2017
"57","AA_0390",-5,-5,-7.77,"non infected","negative","Lorenzo",2017
"58","AA_0286",-5,-5,-14.1,"non infected","negative","Lorenzo",2017
"59","AA_0328",-5,-12.17,-7.13,"non infected","negative","Lorenzo",2017
"60","AA_0499",-5,-13.42,-11.34,"non infected","negative","Lorenzo",2017
"61","AA_0365",-5,-15.76,-11.85,"non infected","negative","Lorenzo",2017
"62","AA_0053",-0.27,-8.7433333333,-0.27,"infected cecum","positive","Mert",2016
"63","AA_0065",-2.2166666667,-9.0133333333,-2.2166666667,"infected cecum","positive","Mert",2016
"64","AA_0067",-3.5933333333,-8.52,-3.5933333333,"infected cecum","positive","Mert",2016
"65","AA_0079",2.9,-11.0633333333,2.9,"infected cecum","positive","Mert",2016
"66","AA_0082",-0.3533333333,-10.59,-0.3533333333,"infected cecum","positive","Mert",2016
"67","AA_0094",0.9433333333,-10.5266666667,0.9433333333,"infected cecum","positive","Mert",2016
"68","AA_0112",-0.0766666667,-5.9333333333,-0.0766666667,"infected cecum","positive","Mert",2016
"69","AA_0113",-1.45,-8.7166666667,-1.45,"infected cecum","positive","Mert",2016
"70","AA_0120",-2.77,-8.8766666667,-2.77,"infected cecum","positive","Mert",2016
"71","AA_0121",-3.1266666667,-9.6466666667,-3.1266666667,"infected cecum","positive","Mert",2016
"72","AA_0165",-2.2533333333,-8.9733333333,-2.2533333333,"infected cecum","positive","Mert",2016
"73","AA_0167",-4.6866666667,-8.72,-4.6866666667,"infected cecum","positive","Mert",2016
"74","AA_0168",-3.35,-8.5566666667,-3.35,"infected cecum","positive","Mert",2016
"75","AA_0169",-4.8333333333,-8.24,-4.8333333333,"infected cecum","positive","Mert",2016
"76","AA_0173",1.13,-8.26,1.13,"infected cecum","positive","Mert",2016
"77","AA_0175",-2.8966666667,-8.56,-2.8966666667,"infected cecum","positive","Mert",2016
"78","AA_0176",-4.7733333333,-8.8733333333,-4.7733333333,"infected cecum","positive","Mert",2016
