Area,Address,Latitude,Longitude,Trap_set_date,Trap_set_time,Trap_number,Trap_collect_date,Trap_collect_time,Rodents_caught,Mus_caught
X,Wildpark Schorfheide,52.9229,13.5521,13/09/21,14:30,60,14/09/21,12:00,8,8
X,In Willmersdorf 401,52.6622,13.6926,14/09/21,14:00,28,15/09/21,10:40,1,0
X,Danewitz 2,52.7369,13.66,14/09/21,14:09,28,15/09/21,9:30,22,22
X,Eberswalderstr. 13,52.8036,13.9567,13/09/21,17:30,59,14/09/21,17:00,8,8
X,Wriezen 37,52.6916,14.1015,13/09/21,14:00,29,14/09/21,11:10,1,0
X,Neumädewitz 6 ,52.736,14.1693,13/09/21,19:15,36,14/09/21,10:00,1,1
X,Münchenhofe 1,52.4978,13.6761,13/09/21,10:00,30,14/09/21,10:00,14,14
X,Am Uhrenturm 1,52.6083,13.868,13/09/21,16:00,19,14/09/21,11:30,2,0
X,Gielsdorf 68,52.6053,13.8757,13/09/21,16:30,37,14/09/21,12:00,16,16
X,Prenzlauer Str. 14 Schorfheide,52.9178,13.5412,14/09/21,11:00,25,15/09/21,13:30,2,1
X,"Parkstraße 5, Frankenfelde",52.6852,14.0443,14/09/21,13:54,35,15/09/21,15:34,1,0
X,Wirtschaftshof 6 Lüdersdorf,52.6971,14.0844,14/09/21,14:23,38,15/09/21,14:27,8,8
X,Altgaul 28,52.7383,14.0953,14/09/21,12:15,30,15/09/21,12:50,10,10
X,Mahlerstraße 23,52.735,14.1264,14/09/21,10:40,30,15/09/21,12:00,2,2
X,Beerbaumer Weg 11,52.7515,13.7895,15/09/21,18:30,28,16/09/21,12:00,1,0
X,Schönholzer Str. 8C,52.7462,13.7305,15/09/21,13:15,29,16/09/21,11:50,2,2
X,Beerbaum 12,52.7301,13.791,15/09/21,12:50,30,16/09/21,9:10,1,0
X,Alter Kiez 4,53.0001,13.476,14/09/21,15:00,43,15/09/21,21:00,2,2
X,Alt-Gielsdorf 35,52.613,13.8605,13/09/21,17:10,29,14/09/21,11:15,1,1
X,"Ringstraße 17a, Ernsthof",52.6011,14.0216,17/09/21,17:00,13,18/09/21,12:20,1,0
X,Grunow 16,52.6043,14.035,17/09/21,16:20,30,18/09/21,12:00,1,0
X,Kastanienweg 8,52.6241,14.0109,17/09/21,15:40,29,18/09/21,11:45,1,1
X,Schönholzer Str. 8C,52.7462,13.7305,17/09/21,19:30,52,18/09/21,10:32,9,9
X,Tuchener Weg 3,52.7396,13.8344,16/09/21,18:00,16,17/09/21,14:30,1,
X,"Alttarnow 15, Bad Freienwalde",52.7851,14.0422,16/09/21,11:50,28,17/09/21,12:32,1,0
X,Großmutz,52.9321,13.1096,17/09/21,16:30,18,18/09/21,12:34,6,6
X,Kraazter Weg,52.9461,13.2131,17/09/21,15:54,23,18/09/21,12:58,7,7
X,"Bergdorfer Str. 6, Zehdenick",52.9574,13.2829,17/09/21,15:00,37,18/09/21,12:30,1,1
X,Zehdenicker Str 11,52.9785,13.733,17/09/21,14:30,21,18/09/21,12:00,4,
X,Töpferstr. 36,52.9749,13.7543,17/09/21,15:30,46,18/09/21,9:00,20,
X,Schönebecker Str. 21,52.9761,13.7318,17/09/21,14:30,57,18/09/21,14:30,11,
