Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,705,Eimeria,34.2,0.569,FALSE
A2,705,Eimeria,35.09,0.569,FALSE
A3,705,Eimeria,34.03,0.569,FALSE
A4,705,Mus,24.43,1.57,TRUE
A5,705,Mus,22.39,1.57,TRUE
A6,705,Mus,21.34,1.57,TRUE
A7,773,Eimeria,31.33,1.3,TRUE
A8,773,Eimeria,33.41,1.3,TRUE
A9,773,Eimeria,33.72,1.3,TRUE
A10,773,Mus,23.72,1.409,TRUE
A11,773,Mus,22.45,1.409,TRUE
A12,773,Mus,20.91,1.409,TRUE
B1,765,Eimeria,33.4,0.604,TRUE
B2,765,Eimeria,34.61,0.604,TRUE
B3,765,Eimeria,34.04,0.604,TRUE
B4,765,Mus,25.64,1.553,TRUE
B5,765,Mus,23.94,1.553,TRUE
B6,765,Mus,22.54,1.553,TRUE
B7,756,Eimeria,35.67,1.233,FALSE
B8,756,Eimeria,35.29,1.233,FALSE
B9,756,Eimeria,33.37,1.233,FALSE
B10,756,Mus,24.43,1.216,TRUE
B11,756,Mus,23.28,1.216,TRUE
B12,756,Mus,22,1.216,TRUE
C1,733,Eimeria,33.56,0.401,FALSE
C2,733,Eimeria,34.32,0.401,FALSE
C3,733,Eimeria,33.73,0.401,FALSE
C4,733,Mus,24.33,1.785,TRUE
C5,733,Mus,22.22,1.785,TRUE
C6,733,Mus,20.78,1.785,TRUE
C7,739,Eimeria,33.61,0.543,FALSE
C8,739,Eimeria,33.19,0.543,FALSE
C9,739,Eimeria,32.53,0.543,FALSE
C10,739,Mus,21.93,1.339,TRUE
C11,739,Mus,20.04,1.339,TRUE
C12,739,Mus,Undetermined,,TRUE
D1,761,Eimeria,33.97,0.729,FALSE
D2,761,Eimeria,34.03,0.729,FALSE
D3,761,Eimeria,32.73,0.729,FALSE
D4,761,Mus,23.1,1.453,TRUE
D5,761,Mus,21.37,1.453,TRUE
D6,761,Mus,20.21,1.453,TRUE
D7,789,Eimeria,34.15,0.354,TRUE
D8,789,Eimeria,34.12,0.354,TRUE
D9,789,Eimeria,33.53,0.354,TRUE
D10,789,Mus,24.25,1.518,TRUE
D11,789,Mus,23.09,1.518,TRUE
D12,789,Mus,21.24,1.518,TRUE
E1,706,Eimeria,34.98,0.778,FALSE
E2,706,Eimeria,34.05,0.778,FALSE
E3,706,Eimeria,33.44,0.778,FALSE
E4,706,Mus,25.06,1.464,TRUE
E5,706,Mus,23.22,1.464,TRUE
E6,706,Mus,22.17,1.464,TRUE
E7,741,Eimeria,33.33,0.368,TRUE
E8,741,Eimeria,34.02,0.368,TRUE
E9,741,Eimeria,33.45,0.368,TRUE
E10,741,Mus,24.52,1.397,TRUE
E11,741,Mus,23.15,1.397,TRUE
E12,741,Mus,21.72,1.397,TRUE
F1,810,Eimeria,33.25,0.551,FALSE
F2,810,Eimeria,32.63,0.551,FALSE
F3,810,Eimeria,33.73,0.551,FALSE
F4,810,Mus,25.17,2.075,TRUE
F5,810,Mus,23.53,2.075,TRUE
F6,810,Mus,21.05,2.075,TRUE
F7,846,Eimeria,33.04,0.498,TRUE
F8,846,Eimeria,34.03,0.498,TRUE
F9,846,Eimeria,33.65,0.498,TRUE
F10,846,Mus,23.94,1.824,TRUE
F11,846,Mus,22.04,1.824,TRUE
F12,846,Mus,20.29,1.824,TRUE
G1,709,Eimeria,32.99,0.506,FALSE
G2,709,Eimeria,33.3,0.506,FALSE
G3,709,Eimeria,33.98,0.506,FALSE
G4,709,Mus,23.83,1.161,TRUE
G5,709,Mus,23.2,1.161,TRUE
G6,709,Mus,21.58,1.161,TRUE
G7,751,Eimeria,34.24,0.719,TRUE
G8,751,Eimeria,35.53,0.719,TRUE
G9,751,Eimeria,34.33,0.719,TRUE
G10,751,Mus,23.78,1.4,TRUE
G11,751,Mus,22.59,1.4,TRUE
G12,751,Mus,20.99,1.4,TRUE
H1,685,Eimeria,36.01,1.193,TRUE
H2,685,Eimeria,34.48,1.193,TRUE
H3,685,Eimeria,33.66,1.193,TRUE
H4,685,Mus,25.5,1.892,TRUE
H5,685,Mus,24.09,1.892,TRUE
H6,685,Mus,21.75,1.892,TRUE
H7,NTC,Eimeria,35.15,1.405,FALSE
H8,NTC,Eimeria,36.8,1.405,FALSE
H9,NTC,Eimeria,37.95,1.405,FALSE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
