Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,850,Eimeria,37.47,1.944,TRUE
A2,850,Eimeria,34.04,1.944,TRUE
A3,850,Eimeria,34.16,1.944,TRUE
A4,850,Mus,27.45,2.213,TRUE
A5,850,Mus,25.17,2.213,TRUE
A6,850,Mus,23.03,2.213,TRUE
A7,758,Eimeria,32.71,0.533,TRUE
A8,758,Eimeria,33.54,0.533,TRUE
A9,758,Eimeria,32.54,0.533,TRUE
A10,758,Mus,25.65,1.766,TRUE
A11,758,Mus,23.58,1.766,TRUE
A12,758,Mus,22.14,1.766,TRUE
B1,851,Eimeria,37.19,0.479,FALSE
B2,851,Eimeria,36.54,0.479,FALSE
B3,851,Eimeria,36.25,0.479,FALSE
B4,851,Mus,25.81,1.892,TRUE
B5,851,Mus,23.74,1.892,TRUE
B6,851,Mus,22.04,1.892,TRUE
B7,763,Eimeria,39.59,3.739,FALSE
B8,763,Eimeria,32.12,3.739,FALSE
B9,763,Eimeria,36.09,3.739,FALSE
B10,763,Mus,27.12,1.948,TRUE
B11,763,Mus,25.07,1.948,TRUE
B12,763,Mus,23.23,1.948,TRUE
C1,682,Eimeria,35.56,1.461,FALSE
C2,682,Eimeria,38.18,1.461,FALSE
C3,682,Eimeria,35.75,1.461,FALSE
C4,682,Mus,28.91,1.808,TRUE
C5,682,Mus,27.06,1.808,TRUE
C6,682,Mus,25.3,1.808,TRUE
C7,766,Eimeria,36.07,0.803,FALSE
C8,766,Eimeria,34.7,0.803,FALSE
C9,766,Eimeria,34.66,0.803,FALSE
C10,766,Mus,26.34,2.039,TRUE
C11,766,Mus,24.4,2.039,TRUE
C12,766,Mus,22.26,2.039,TRUE
D1,684,Eimeria,34.52,0.547,FALSE
D2,684,Eimeria,33.46,0.547,FALSE
D3,684,Eimeria,34.23,0.547,FALSE
D4,684,Mus,25.02,1.96,TRUE
D5,684,Mus,23.06,1.96,TRUE
D6,684,Mus,21.1,1.96,TRUE
D7,769,Eimeria,39.03,3.673,FALSE
D8,769,Eimeria,36.22,3.673,FALSE
D9,769,Eimeria,31.75,3.673,FALSE
D10,769,Mus,27.26,2.034,TRUE
D11,769,Mus,26.22,2.034,TRUE
D12,769,Mus,23.33,2.034,TRUE
E1,686,Eimeria,35.46,1.05,TRUE
E2,686,Eimeria,33.37,1.05,TRUE
E3,686,Eimeria,34.22,1.05,TRUE
E4,686,Mus,25.47,1.885,TRUE
E5,686,Mus,23.35,1.885,TRUE
E6,686,Mus,21.71,1.885,TRUE
E7,852,Eimeria,36.43,2.102,FALSE
E8,852,Eimeria,36.5,2.102,FALSE
E9,852,Eimeria,32.82,2.102,FALSE
E10,852,Mus,26.09,1.826,TRUE
E11,852,Mus,24.38,1.826,TRUE
E12,852,Mus,22.44,1.826,TRUE
F1,708,Eimeria,33.06,0.604,FALSE
F2,708,Eimeria,32.98,0.604,FALSE
F3,708,Eimeria,31.98,0.604,FALSE
F4,708,Mus,23.12,1.439,TRUE
F5,708,Mus,21.86,1.439,TRUE
F6,708,Mus,20.25,1.439,TRUE
F7,683,Eimeria,34.37,0.184,FALSE
F8,683,Eimeria,34.58,0.184,FALSE
F9,683,Eimeria,34.21,0.184,FALSE
F10,683,Mus,23.69,1.711,TRUE
F11,683,Mus,24.09,1.711,TRUE
F12,683,Mus,20.95,1.711,TRUE
G1,753,Eimeria,35.16,0.934,TRUE
G2,753,Eimeria,33.3,0.934,TRUE
G3,753,Eimeria,34.37,0.934,TRUE
G4,753,Mus,26.97,2.492,TRUE
G5,753,Mus,24.63,2.492,TRUE
G6,753,Mus,21.99,2.492,TRUE
H1,757,Eimeria,35.91,0.942,FALSE
H2,757,Eimeria,35.17,0.942,FALSE
H3,757,Eimeria,34.04,0.942,FALSE
H4,757,Mus,26.4,2.204,TRUE
H5,757,Mus,23.86,2.204,TRUE
H6,757,Mus,22.01,2.204,TRUE
H7,NTC,Eimeria,35.63,0.469,FALSE
H8,NTC,Eimeria,Undetermined,,FALSE
H9,NTC,Eimeria,36.3,0.469,FALSE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,35.09,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
