Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,750,Eimeria,33.01,0.293,FALSE
A2,750,Eimeria,33.58,0.293,FALSE
A3,750,Eimeria,33.42,0.293,FALSE
A4,750,Mus,25.13,2.836,TRUE
A5,750,Mus,22.06,2.836,TRUE
A7,714,Eimeria,34.61,0.567,FALSE
A8,714,Eimeria,34.83,0.567,FALSE
A9,714,Eimeria,33.75,0.567,FALSE
A10,714,Mus,23.87,2.04,TRUE
A11,714,Mus,22.08,2.04,TRUE
B1,760,Eimeria,35.13,3.508,FALSE
B2,760,Eimeria,29.62,3.508,FALSE
B3,760,Eimeria,36.14,3.508,FALSE
B4,760,Mus,27.68,2.592,TRUE
B5,760,Mus,25.05,2.592,TRUE
B6,760,Mus,22.49,2.592,TRUE
B7,752,Eimeria,35.42,0.529,FALSE
B8,752,Eimeria,34.37,0.529,FALSE
B9,752,Eimeria,35.03,0.529,FALSE
B10,752,Mus,25.69,2.051,TRUE
B11,752,Mus,23.83,2.051,TRUE
B12,752,Mus,21.59,2.051,TRUE
C1,772,Eimeria,34.32,1.59,FALSE
C2,772,Eimeria,36.65,1.59,FALSE
C3,772,Eimeria,32.69,1.59,FALSE
C4,772,Mus,28.01,3.013,TRUE
C5,772,Mus,25.6,3.013,TRUE
C6,772,Mus,22.66,3.013,TRUE
C7,772,Eimeria,33.55,1.59,FALSE
C8,772,Eimeria,32.52,1.59,FALSE
C9,772,Eimeria,32.65,1.59,FALSE
C10,772,Mus,22.69,3.013,TRUE
C11,772,Mus,21.26,3.013,TRUE
D1,846,Eimeria,30.33,1.598,FALSE
D2,846,Eimeria,33.49,1.598,FALSE
D3,846,Eimeria,32.36,1.598,FALSE
D4,846,Mus,28.17,2.981,TRUE
D5,846,Mus,25.56,2.981,TRUE
D6,846,Mus,22.22,2.981,TRUE
D7,836,Eimeria,36.96,0.623,FALSE
D8,836,Eimeria,37.11,0.623,FALSE
D9,836,Eimeria,35.96,0.623,FALSE
D10,836,Mus,27.04,2.477,TRUE
D11,836,Mus,25.09,2.477,TRUE
D12,836,Mus,22.12,2.477,TRUE
E1,847,Eimeria,34.06,1.158,FALSE
E2,847,Eimeria,31.81,1.158,FALSE
E3,847,Eimeria,32.45,1.158,FALSE
E4,847,Mus,25.04,2.726,TRUE
E5,847,Mus,22.92,2.726,TRUE
E7,854,Eimeria,36.69,0.558,FALSE
E8,854,Eimeria,35.69,0.558,FALSE
E9,854,Eimeria,35.77,0.558,FALSE
E10,854,Mus,27.45,2.779,TRUE
E11,854,Mus,25.6,2.779,TRUE
E12,854,Mus,21.99,2.779,TRUE
F1,692,Eimeria,34.49,2.726,FALSE
F2,692,Eimeria,29.55,2.726,FALSE
F3,692,Eimeria,34.03,2.726,FALSE
F4,692,Mus,28.3,3.21,TRUE
F5,692,Mus,26.14,3.21,TRUE
F7,NTC,Eimeria,Undetermined,,TRUE
F8,NTC,Eimeria,35.5,0.254,TRUE
F9,NTC,Eimeria,35.46,0.254,TRUE
F10,NTC,Mus,Undetermined,,FALSE
F11,NTC,Mus,Undetermined,,FALSE
F12,NTC,Mus,Undetermined,,FALSE
G1,703,Eimeria,33.36,0.83,FALSE
G2,703,Eimeria,32.83,0.83,FALSE
G3,703,Eimeria,34.45,0.83,FALSE
G4,703,Mus,26.28,3.554,TRUE
G5,703,Mus,23.1,3.554,TRUE
G7,NTC,Eimeria,35.31,0.254,TRUE
G8,NTC,Eimeria,34.95,0.254,TRUE
G9,NTC,Eimeria,Undetermined,,TRUE
G10,NTC,Mus,Undetermined,,FALSE
G11,NTC,Mus,Undetermined,,FALSE
G12,NTC,Mus,Undetermined,,FALSE
H1,710,Eimeria,32.48,2.515,FALSE
H2,710,Eimeria,35.66,2.515,FALSE
H3,710,Eimeria,37.44,2.515,FALSE
H4,710,Mus,27.04,2.27,TRUE
H5,710,Mus,24.64,2.27,TRUE
H7,NTC,Eimeria,Undetermined,,FALSE
H8,NTC,Eimeria,Undetermined,,FALSE
H9,NTC,Eimeria,Undetermined,,FALSE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
