Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,820,Eimeria,29.37,0.748,TRUE
A2,820,Eimeria,30.33,0.748,TRUE
A3,820,Eimeria,28.86,0.748,TRUE
A4,820,Mus,25.89,1.732,TRUE
A5,820,Mus,23.76,1.732,TRUE
A6,820,Mus,22.46,1.732,TRUE
A7,743,Eimeria,33.06,0.448,TRUE
A8,743,Eimeria,32.94,0.448,TRUE
A9,743,Eimeria,32.23,0.448,TRUE
A10,743,Mus,23.95,0.681,TRUE
A11,743,Mus,23.02,0.681,TRUE
A12,743,Mus,22.62,0.681,TRUE
B1,817,Eimeria,23.19,0.578,TRUE
B2,817,Eimeria,24.22,0.578,TRUE
B3,817,Eimeria,23.24,0.578,TRUE
B4,817,Mus,26.55,1.086,TRUE
B5,817,Mus,25.32,1.086,TRUE
B6,817,Mus,24.38,1.086,TRUE
B7,721,Eimeria,33.02,0.602,TRUE
B8,721,Eimeria,31.96,0.602,TRUE
B9,721,Eimeria,32.99,0.602,TRUE
B10,721,Mus,25.22,1.626,TRUE
B11,721,Mus,23.36,1.626,TRUE
B12,721,Mus,21.98,1.626,TRUE
C1,812,Eimeria,35.69,1.492,TRUE
C2,812,Eimeria,32.78,1.492,TRUE
C3,812,Eimeria,33.67,1.492,TRUE
C4,812,Mus,25.79,1.401,TRUE
C5,812,Mus,24.33,1.401,TRUE
C6,812,Mus,22.99,1.401,TRUE
C7,719,Eimeria,32.2,0.699,TRUE
C8,719,Eimeria,32.28,0.699,TRUE
C9,719,Eimeria,31.03,0.699,TRUE
C10,719,Mus,23.64,0.791,TRUE
C11,719,Mus,22.68,0.791,TRUE
C12,719,Mus,22.07,0.791,TRUE
D1,800,Eimeria,32.81,0.811,TRUE
D2,800,Eimeria,32.78,0.811,TRUE
D3,800,Eimeria,31.39,0.811,TRUE
D4,800,Mus,24.06,1.055,TRUE
D5,800,Mus,23.16,1.055,TRUE
D6,800,Mus,21.96,1.055,TRUE
D7,726,Eimeria,33.28,1.463,FALSE
D8,726,Eimeria,32.55,1.463,FALSE
D9,726,Eimeria,30.46,1.463,FALSE
D10,726,Mus,23.56,0.883,TRUE
D11,726,Mus,22.26,0.883,TRUE
D12,726,Mus,21.87,0.883,TRUE
E1,795,Eimeria,28.33,0.697,TRUE
E2,795,Eimeria,28.59,0.697,TRUE
E3,795,Eimeria,27.27,0.697,TRUE
E4,795,Mus,23.71,1.001,TRUE
E5,795,Mus,22.76,1.001,TRUE
E6,795,Mus,21.71,1.001,TRUE
E7,725,Eimeria,34.1,1.352,FALSE
E8,725,Eimeria,32.53,1.352,FALSE
E9,725,Eimeria,31.41,1.352,FALSE
E10,725,Mus,23.15,0.61,TRUE
E11,725,Mus,22.23,0.61,TRUE
E12,725,Mus,22.01,0.61,TRUE
F1,771,Eimeria,33.21,0.97,FALSE
F2,771,Eimeria,32.08,0.97,FALSE
F3,771,Eimeria,34.01,0.97,FALSE
F4,771,Mus,24.79,1.708,TRUE
F5,771,Mus,23.29,1.708,TRUE
F6,771,Mus,21.38,1.708,TRUE
F7,704,Eimeria,34.33,1.227,FALSE
F8,704,Eimeria,32.43,1.227,FALSE
F9,704,Eimeria,32.03,1.227,FALSE
F10,704,Mus,24.12,0.583,TRUE
F11,704,Mus,23.48,0.583,TRUE
F12,704,Mus,22.96,0.583,TRUE
G1,770,Eimeria,34.54,1.745,FALSE
G2,770,Eimeria,32.47,1.745,FALSE
G3,770,Eimeria,31.07,1.745,FALSE
G4,770,Mus,23.34,1.028,TRUE
G5,770,Mus,22.48,1.028,TRUE
G6,770,Mus,21.29,1.028,TRUE
G7,695,Eimeria,31.11,0.697,TRUE
G8,695,Eimeria,31.3,0.697,TRUE
G9,695,Eimeria,30.01,0.697,TRUE
G10,695,Mus,23.12,5.522,TRUE
G11,695,Mus,22,5.522,TRUE
G12,695,Mus,13.04,5.522,TRUE
H1,746,Eimeria,25.03,0.808,TRUE
H2,746,Eimeria,25.47,0.808,TRUE
H3,746,Eimeria,23.9,0.808,TRUE
H4,746,Mus,23.18,0.835,TRUE
H5,746,Mus,22.8,0.835,TRUE
H6,746,Mus,21.59,0.835,TRUE
H7,NTC,Eimeria,36,1.656,TRUE
H8,NTC,Eimeria,Undetermined,,FALSE
H9,NTC,Eimeria,33.66,1.656,TRUE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
