Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,840,Eimeria,36,1.088,FALSE
A2,840,Eimeria,35.16,1.088,FALSE
A3,840,Eimeria,33.84,1.088,FALSE
A4,840,Mus,28.31,1.901,TRUE
A5,840,Mus,26.47,1.901,TRUE
A6,840,Mus,24.51,1.901,TRUE
A7,776,Eimeria,29.08,0.175,TRUE
A8,776,Eimeria,29.26,0.175,TRUE
A9,776,Eimeria,29.43,0.175,TRUE
A10,776,Mus,22.39,3.976,TRUE
A11,776,Mus,20.88,3.976,TRUE
B1,729,Eimeria,35.04,0.99,FALSE
B2,729,Eimeria,33.07,0.99,FALSE
B3,729,Eimeria,34.19,0.99,FALSE
B4,729,Mus,25.51,1.378,TRUE
B5,729,Mus,24.26,1.378,TRUE
B6,729,Mus,22.75,1.378,TRUE
B7,839,Eimeria,30.32,0.086,TRUE
B8,839,Eimeria,30.47,0.086,TRUE
B9,839,Eimeria,30.47,0.086,TRUE
B10,839,Mus,23.56,1.4,TRUE
B11,839,Mus,22.63,1.4,TRUE
B12,839,Mus,20.81,1.4,TRUE
C1,735,Eimeria,31.19,0.687,TRUE
C2,735,Eimeria,32.55,0.687,TRUE
C3,735,Eimeria,31.77,0.687,TRUE
C4,735,Mus,23.53,7.371,TRUE
C6,735,Mus,22.05,7.371,TRUE
C7,787,Eimeria,30.69,0.531,TRUE
C8,787,Eimeria,31.36,0.531,TRUE
C9,787,Eimeria,30.31,0.531,TRUE
C10,787,Mus,25.88,1.953,TRUE
C11,787,Mus,24.32,1.953,TRUE
C12,787,Mus,22,1.953,TRUE
D1,755,Eimeria,30.38,0.296,TRUE
D2,755,Eimeria,30.74,0.296,TRUE
D3,755,Eimeria,30.15,0.296,TRUE
D4,755,Mus,25.76,1.741,TRUE
D5,755,Mus,23.86,1.741,TRUE
D6,755,Mus,22.28,1.741,TRUE
D7,831,Eimeria,31.13,0.655,TRUE
D8,831,Eimeria,30.93,0.655,TRUE
D9,831,Eimeria,32.15,0.655,TRUE
D10,831,Mus,25.76,1.771,TRUE
D11,831,Mus,23.36,1.771,TRUE
D12,831,Mus,22.3,1.771,TRUE
E1,811,Eimeria,34.87,0.496,FALSE
E2,811,Eimeria,35.83,0.496,FALSE
E3,811,Eimeria,35.58,0.496,FALSE
E4,811,Mus,26.58,1.837,TRUE
E5,811,Mus,24.55,1.837,TRUE
E6,811,Mus,22.92,1.837,TRUE
E7,804,Eimeria,23.76,0.139,TRUE
E8,804,Eimeria,24.02,0.139,TRUE
E9,804,Eimeria,23.81,0.139,TRUE
E10,804,Mus,24.19,9.768,TRUE
E11,804,Mus,22.91,9.768,TRUE
F1,815,Eimeria,34.51,2.619,FALSE
F2,815,Eimeria,30.13,2.619,FALSE
F3,815,Eimeria,34.8,2.619,FALSE
F4,815,Mus,27.37,2.447,TRUE
F5,815,Mus,25.09,2.447,TRUE
F6,815,Mus,22.48,2.447,TRUE
F7,798,Eimeria,32.01,0.969,TRUE
F8,798,Eimeria,32.88,0.969,TRUE
F9,798,Eimeria,33.94,0.969,TRUE
F10,798,Mus,25.22,1.674,TRUE
F11,798,Mus,23.28,1.674,TRUE
F12,798,Mus,21.89,1.674,TRUE
G1,829,Eimeria,31.28,0.205,TRUE
G2,829,Eimeria,31.67,0.205,TRUE
G3,829,Eimeria,31.59,0.205,TRUE
G4,829,Mus,27.73,1.752,TRUE
G5,829,Mus,25.51,1.752,TRUE
G6,829,Mus,24.27,1.752,TRUE
G7,NTC,Eimeria,31.44,2.996,TRUE
G8,NTC,Eimeria,Undetermined,,TRUE
G9,NTC,Eimeria,34.06,2.996,TRUE
G10,NTC,Mus,Undetermined,,FALSE
G11,NTC,Mus,Undetermined,,FALSE
G12,NTC,Mus,Undetermined,,FALSE
H1,806,Eimeria,30.96,0.43,TRUE
H2,806,Eimeria,31.42,0.43,TRUE
H3,806,Eimeria,30.56,0.43,TRUE
H4,806,Mus,23.77,10.067,TRUE
H7,NTC,Eimeria,Undetermined,,FALSE
H8,NTC,Eimeria,37.96,2.996,FALSE
H9,NTC,Eimeria,37.16,2.996,FALSE
H10,NTC,Mus,Undetermined,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
