Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,782,Eimeria,33.58,0.509,FALSE
A2,782,Eimeria,32.67,0.509,FALSE
A3,782,Eimeria,33.52,0.509,FALSE
A4,782,Mus,24.55,1.099,TRUE
A5,782,Mus,23.37,1.099,TRUE
A6,782,Mus,22.35,1.099,TRUE
A7,833,Eimeria,33.74,0.545,FALSE
A8,833,Eimeria,33.39,0.545,FALSE
A9,833,Eimeria,34.46,0.545,FALSE
A10,833,Mus,23.28,1.077,TRUE
A11,833,Mus,22.36,1.077,TRUE
A12,833,Mus,21.13,1.077,TRUE
B1,780,Eimeria,32.42,0.977,FALSE
B2,780,Eimeria,33.56,0.977,FALSE
B3,780,Eimeria,34.36,0.977,FALSE
B4,780,Mus,24.95,1.325,TRUE
B5,780,Mus,23.82,1.325,TRUE
B6,780,Mus,22.31,1.325,TRUE
B7,786,Eimeria,32.19,0.962,FALSE
B8,786,Eimeria,34.07,0.962,FALSE
B9,786,Eimeria,33.48,0.962,FALSE
B10,786,Mus,22.16,4.64,TRUE
B11,786,Mus,21.34,4.64,TRUE
B12,786,Mus,13.74,4.64,TRUE
C1,681,Eimeria,29.8,2.606,FALSE
C2,681,Eimeria,34.89,2.606,FALSE
C3,681,Eimeria,33.32,2.606,FALSE
C4,681,Mus,25.45,1.196,TRUE
C5,681,Mus,24.46,1.196,TRUE
C6,681,Mus,23.07,1.196,TRUE
C7,779,Eimeria,37.08,1.08,FALSE
C8,779,Eimeria,37.57,1.08,FALSE
C9,779,Eimeria,35.51,1.08,FALSE
C10,779,Mus,24.61,1.744,TRUE
C11,779,Mus,22.9,1.744,TRUE
C12,779,Mus,21.13,1.744,TRUE
D1,754,Eimeria,32.57,0.223,TRUE
D2,754,Eimeria,32.38,0.223,TRUE
D3,754,Eimeria,32.12,0.223,TRUE
D4,754,Mus,28.28,1.826,TRUE
D5,754,Mus,26.86,1.826,TRUE
D6,754,Mus,24.66,1.826,TRUE
D7,835,Eimeria,35.09,1.573,FALSE
D8,835,Eimeria,34.59,1.573,FALSE
D9,835,Eimeria,32.15,1.573,FALSE
D10,835,Mus,23.78,1.6,TRUE
D11,835,Mus,22.15,1.6,TRUE
D12,835,Mus,20.58,1.6,TRUE
E1,807,Eimeria,37.18,1.219,FALSE
E2,807,Eimeria,34.87,1.219,FALSE
E3,807,Eimeria,35.34,1.219,FALSE
E4,807,Mus,25.15,1.128,TRUE
E5,807,Mus,24.05,1.128,TRUE
E6,807,Mus,22.89,1.128,TRUE
E7,688,Eimeria,29.49,0.198,TRUE
E8,688,Eimeria,29.68,0.198,TRUE
E9,688,Eimeria,29.28,0.198,TRUE
E10,688,Mus,21.95,9.888,TRUE
E11,688,Mus,6.18,9.888,TRUE
E12,688,Mus,3.74,9.888,TRUE
F1,730,Eimeria,32.55,0.613,FALSE
F2,730,Eimeria,32.21,0.613,FALSE
F3,730,Eimeria,31.36,0.613,FALSE
F4,730,Mus,23.26,0.797,TRUE
F5,730,Mus,22.53,0.797,TRUE
F6,730,Mus,21.67,0.797,TRUE
F7,691,Eimeria,34.42,1.613,FALSE
F8,691,Eimeria,32.04,1.613,FALSE
F9,691,Eimeria,31.35,1.613,FALSE
F10,691,Mus,27.06,1.356,TRUE
F11,691,Mus,26.16,1.356,TRUE
F12,691,Mus,24.39,1.356,TRUE
G1,788,Eimeria,31.4,0.786,TRUE
G2,788,Eimeria,29.85,0.786,TRUE
G3,788,Eimeria,30.4,0.786,TRUE
G4,788,Mus,24.15,0.896,TRUE
G5,788,Mus,23.33,0.896,TRUE
G6,788,Mus,22.36,0.896,TRUE
G7,717,Eimeria,33.83,1.737,FALSE
G8,717,Eimeria,32.57,1.737,FALSE
G9,717,Eimeria,36,1.737,FALSE
G10,717,Mus,24.8,1.799,TRUE
G11,717,Mus,23.08,1.799,TRUE
G12,717,Mus,21.2,1.799,TRUE
H1,732,Eimeria,31.77,0.478,TRUE
H2,732,Eimeria,31.68,0.478,TRUE
H3,732,Eimeria,30.9,0.478,TRUE
H4,732,Mus,24.09,1.182,TRUE
H5,732,Mus,23.4,1.182,TRUE
H6,732,Mus,21.79,1.182,TRUE
H7,NTC,Eimeria,39.61,4.829,FALSE
H8,NTC,Eimeria,32.74,4.829,FALSE
H9,NTC,Eimeria,30.3,4.829,FALSE
H10,NTC,Mus,36,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
