Mouse_ID,Hymenolepis_microstoma,Hymenolepis_diminiuta,Catenotaenia_pusilla,Cysticercus,Mesocestoides,Mastophorus_muris,Trichuris_muris,Heterakis_spumosa,Syphacia_obvelata,Aspiculuris_tetraptera,Heligmosomoides_polygurus,Notes,,
AA_0237,0,0,0,0,0,0,0,0,0,0,0,Error in tubes : colon wall in liq nitro is in the CEWE tube,,
AA_0238,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0239,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0240,0,0,0,0,0,0,0,0,0,0,0,Only one salivary gland,,
AA_0241,0,0,0,0,0,0,0,0,75,0,0,NA,,
AA_0242,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0243,0,0,0,0,0,0,0,0,5,0,0,NA,,
AA_0244,0,0,0,0,0,0,0,0,26,0,0,NA,,
AA_0245,TRUE,0,0,0,0,0,0,0,0,21,0,0,NA,
AA_0246,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0247,TRUE,0,0,0,0,0,0,0,0,10,0,0,NA,
AA_0248,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0249,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0250,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0251,TRUE,0,0,0,0,0,0,0,0,20,0,0,NA,
AA_0252,TRUE,0,0,0,0,0,0,0,0,7,0,0,NA,
AA_0253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol (1 tube “All digestive tract”),
AA_0254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol (1 tube “All digestive tract”),,
AA_0255,0,0,0,0,0,0,0,0,40,0,0,NA,,
AA_0256,TRUE,0,0,0,0,0,46,0,0,0,0,0,NA,
AA_0257,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA,
AA_0258,TRUE,0,0,0,0,0,0,0,0,6,0,0,NA,
AA_0259,TRUE,0,0,0,0,0,0,0,0,1,0,0,NA,
AA_0260,TRUE,0,0,0,0,0,0,0,0,9,0,0,NA,
AA_0261,0,0,0,0,0,0,0,4,0,0,0,NA,,
AA_0262,0,0,0,0,0,0,0,0,20,0,0,NA,,
AA_0263,0,1,0,0,0,1,2,1,8,0,0,NA,,
AA_0264,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0265,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol (1 tube “All digestive tract”),
AA_0267,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0268,0,0,0,0,0,2,9,0,12,0,0,NA,,
AA_0269,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0270,0,0,2,0,0,0,9,0,0,85,0,white spot on belly. Resorbed embryos (2/3 left, 4/5 right),
AA_0271,0,0,0,0,0,0,0,0,0,0,0,post partum?,,
AA_0272,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0273,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0274,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0275,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0276,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0277,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0278,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0279,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0280,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0281,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0282,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0283,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0284,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0285,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0286,0.08,FALSE,0,0,0,0,0,0,0,0,0,0,0,NA
AA_0287,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0288,0,0,0,0,0,0,0,0,3,0,0,NA,,
AA_0289,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0290,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0291,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0292,0,0,0,0,0,0,0,0,0,0,0,extra piece of liver in ethanol with potential cisticercous. Big mes lymph nodes,,
AA_0293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,,
AA_0294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,
AA_0295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died in cage. Small protocol ,
AA_0296,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0297,TRUE,0,0,0,0,0,0,96,17,0,0,0,NA,
AA_0298,0,0,0,0,0,0,0,0,18,0,0,NA,,
AA_0299,0,0,0,0,0,0,83,24,0,5,0,NA,,
AA_0300,TRUE,0,0,0,0,0,0,86,17,0,0,0,NA,
AA_0301,0,0,0,0,0,0,0,49,0,0,0,NA,,
AA_0302,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0303,0,0,0,0,0,0,0,0,137,0,0,NA,,
AA_0304,0,0,0,0,0,0,0,0,4,0,0,NA,,
AA_0305,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0306,0,0,0,0,0,0,0,0,17,0,0,NA,,
AA_0307,0,0,0,0,0,0,0,0,43,0,0,NA,,
AA_0308,0,0,0,0,0,0,0,0,1,0,0,white spot on belly + to check,,
AA_0309,0,0,0,0,0,0,0,0,56,0,0,NA,,
AA_0310,0,0,0,0,0,0,0,0,13,0,0,NA,,
AA_0311,0,0,0,0,0,0,0,5,135,0,0,NA,,
AA_0312,0,0,0,0,0,0,1,0,260,0,0,NA,,
AA_0313,0,0,0,0,0,0,0,0,5,0,0,NA,,
AA_0314,0,0,0,0,0,0,0,0,17,0,0,NA,,
AA_0315,0,0,0,0,0,0,0,0,0,0,0,NA,,
AA_0316,TRUE,0,0,0,0,0,0,0,5,6,0,0,NA,
AA_0317,0,0,0,0,0,0,0,0,18,0,0,NA,,
AA_0318,TRUE,0,0,0,0,0,0,15,19,76,0,0,NA,
AA_0319,0,0,0,0,0,0,9,0,0,0,0,NA,,
AA_0320,0,0,0,0,0,0,0,0,0,0,0,NA,,
