"Mouse_ID","delta_ct_MminusE","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","qPCRsummary","qPCRstatus","observer","year"
"AA_0048",-3.75,-10.2533333333,-9.5633333333,"non infected","negative","Mert",2016
"AA_0049",-3.75,-10.5766666667,-10.4533333333,"non infected","negative","Mert",2016
"AA_0050",-3.75,-11.0466666667,-10.22,"non infected","negative","Mert",2016
"AA_0051",-3.75,-9.56,-9.6133333333,"non infected","negative","Mert",2016
"AA_0052",-3.75,-9.9466666667,-10.19,"non infected","negative","Mert",2016
"AA_0053",-0.27,-8.7433333333,-0.27,"infected cecum","positive","Mert",2016
"AA_0054",-1.5566666667,-1.5566666667,-7.1366666667,"infected ileum","positive","Mert",2016
"AA_0055",-3.75,-8.6033333333,-9.0233333333,"non infected","negative","Mert",2016
"AA_0056",-3.75,-8.0766666667,-9.2466666667,"non infected","negative","Mert",2016
"AA_0057",-3.75,-9.0333333333,-9.2533333333,"non infected","negative","Mert",2016
"AA_0058",-3.75,-8.8166666667,-8.9033333333,"non infected","negative","Mert",2016
"AA_0059",-3.75,-8.89,-10.0066666667,"non infected","negative","Mert",2016
"AA_0060",-3.75,-9.34,-8.5633333333,"non infected","negative","Mert",2016
"AA_0061",-3.75,-9.6,-8.8866666667,"non infected","negative","Mert",2016
"AA_0062",-3.75,-8.3666666667,-8.0066666667,"non infected","negative","Mert",2016
"AA_0063",-3.75,-8.7966666667,-7.97,"non infected","negative","Mert",2016
"AA_0065",-2.2166666667,-9.0133333333,-2.2166666667,"infected cecum","positive","Mert",2016
"AA_0067",-3.5933333333,-8.52,-3.5933333333,"infected cecum","positive","Mert",2016
"AA_0071",-3.75,-8.7466666667,-7.7,"non infected","negative","Mert",2016
"AA_0072",-3.75,-8.16,-7.3366666667,"non infected","negative","Mert",2016
"AA_0073",-3.75,-9.0333333333,-7.1533333333,"non infected","negative","Mert",2016
"AA_0074",-3.75,-10.9766666667,-10.63,"non infected","negative","Mert",2016
"AA_0075",-3.75,-10.9066666667,-10.14,"non infected","negative","Mert",2016
"AA_0076",-3.75,-11.2866666667,-7.6033333333,"non infected","negative","Mert",2016
"AA_0077",-3.75,-11.7466666667,-9.7933333333,"non infected","negative","Mert",2016
"AA_0078",-3.75,-11.3166666667,-10.6433333333,"non infected","negative","Mert",2016
"AA_0079",2.9,-11.0633333333,2.9,"infected cecum","positive","Mert",2016
"AA_0081",-3.75,-10.6933333333,-6.8133333333,"non infected","negative","Mert",2016
"AA_0082",-0.3533333333,-10.59,-0.3533333333,"infected cecum","positive","Mert",2016
"AA_0083",-3.75,-10.9066666667,-8.2633333333,"non infected","negative","Mert",2016
"AA_0084",-3.75,-11.2866666667,-9.7366666667,"non infected","negative","Mert",2016
"AA_0085",-3.75,-11,-9.7166666667,"non infected","negative","Mert",2016
"AA_0086",-3.75,-11.4333333333,-9.77,"non infected","negative","Mert",2016
"AA_0087",-3.75,-10.7333333333,-10.6266666667,"non infected","negative","Mert",2016
"AA_0089",-3.75,-11.2,-10.37,"non infected","negative","Mert",2016
"AA_0090",-3.75,-11.1733333333,-9.5333333333,"non infected","negative","Mert",2016
"AA_0091",-3.75,-9.9966666667,-9.8533333333,"non infected","negative","Mert",2016
"AA_0092",-3.75,-10.7966666667,-8.9033333333,"non infected","negative","Mert",2016
"AA_0093",-3.75,-10.33,-9.4833333333,"non infected","negative","Mert",2016
"AA_0094",0.9433333333,-10.5266666667,0.9433333333,"infected cecum","positive","Mert",2016
"AA_0095",-3.75,-10.6333333333,-5.8366666667,"non infected","negative","Mert",2016
"AA_0096",-3.75,-11.2333333333,-9.7066666667,"non infected","negative","Mert",2016
"AA_0097",-3.75,-10.96,-9.9,"non infected","negative","Mert",2016
"AA_0098",-3.75,-11.0333333333,-10.4333333333,"non infected","negative","Mert",2016
"AA_0099",-3.75,-10.2733333333,-9.8933333333,"non infected","negative","Mert",2016
"AA_0101",-3.75,-10.8366666667,-9.5466666667,"non infected","negative","Mert",2016
"AA_0102",-3.75,-10.7933333333,-10.2866666667,"non infected","negative","Mert",2016
"AA_0103",-3.75,-11.2466666667,-9.9,"non infected","negative","Mert",2016
"AA_0104",-3.75,-11.0333333333,-10.5866666667,"non infected","negative","Mert",2016
"AA_0105",-3.75,-9.115,-9.7033333333,"non infected","negative","Mert",2016
"AA_0106",-3.75,-8.6266666667,-8.4566666667,"non infected","negative","Mert",2016
"AA_0107",-3.75,-9.8333333333,-8.9333333333,"non infected","negative","Mert",2016
"AA_0108",-3.75,-9.7566666667,-8.83,"non infected","negative","Mert",2016
"AA_0109",-3.75,-9.61,-8.0766666667,"non infected","negative","Mert",2016
"AA_0110",-3.75,-10.25,-8.6366666667,"non infected","negative","Mert",2016
"AA_0111",1.93,1.93,-0.6966666667,"ileum stronger","positive","Mert",2016
"AA_0112",-0.0766666667,-5.9333333333,-0.0766666667,"infected cecum","positive","Mert",2016
"AA_0113",-1.45,-8.7166666667,-1.45,"infected cecum","positive","Mert",2016
"AA_0114",-3.75,-8.6166666667,-5.3933333333,"non infected","negative","Mert",2016
"AA_0115",-3.75,-8.51,-8.0266666667,"non infected","negative","Mert",2016
"AA_0117",-3.75,-8.76,-8.7266666667,"non infected","negative","Mert",2016
"AA_0118",-3.75,-9.7533333333,-9.17,"non infected","negative","Mert",2016
"AA_0119",-3.75,-5.0166666667,-8.5833333333,"non infected","negative","Mert",2016
"AA_0120",-2.77,-8.8766666667,-2.77,"infected cecum","positive","Mert",2016
"AA_0121",-3.1266666667,-9.6466666667,-3.1266666667,"infected cecum","positive","Mert",2016
"AA_0122",-3.75,-9.89,-9.24,"non infected","negative","Mert",2016
"AA_0123",-3.75,-9.5066666667,-8.6866666667,"non infected","negative","Mert",2016
"AA_0124",-3.75,-9.72,-9.2133333333,"non infected","negative","Mert",2016
"AA_0125",-3.75,-9.8033333333,-7.8933333333,"non infected","negative","Mert",2016
"AA_0126",-3.75,-9.88,-9.4333333333,"non infected","negative","Mert",2016
"AA_0127",-3.75,-8.9066666667,-9.0333333333,"non infected","negative","Mert",2016
"AA_0128",-3.75,-8.7733333333,-9.2133333333,"non infected","negative","Mert",2016
"AA_0129",-3.75,-8.88,-9.53,"non infected","negative","Mert",2016
"AA_0130",-3.75,-9.4,-8.5466666667,"non infected","negative","Mert",2016
"AA_0131",-3.75,-9.21,-9.18,"non infected","negative","Mert",2016
"AA_0132",-3.75,-8.7666666667,-8.97,"non infected","negative","Mert",2016
"AA_0133",-3.75,-9.04,-9.3033333333,"non infected","negative","Mert",2016
"AA_0134",-3.75,-9.05,-9.1433333333,"non infected","negative","Mert",2016
"AA_0135",-3.75,-8.5933333333,-8.84,"non infected","negative","Mert",2016
"AA_0136",-3.75,-8.5066666667,-8.6933333333,"non infected","negative","Mert",2016
"AA_0137",-3.75,-9.17,-8.59,"non infected","negative","Mert",2016
"AA_0138",-3.75,-9.15,-8.21,"non infected","negative","Mert",2016
"AA_0141",-3.75,-9.2533333333,-8.7066666667,"non infected","negative","Mert",2016
"AA_0142",-3.75,-9.3133333333,-8.5433333333,"non infected","negative","Mert",2016
"AA_0143",-3.75,-9.4133333333,-6.5333333333,"non infected","negative","Mert",2016
"AA_0144",-3.75,-8.48,-9.25,"non infected","negative","Mert",2016
"AA_0145",-3.75,-8.61,-8.37,"non infected","negative","Mert",2016
"AA_0146",-3.75,-9.0066666667,-9,"non infected","negative","Mert",2016
"AA_0147",-3.75,-7.9833333333,-8.7833333333,"non infected","negative","Mert",2016
"AA_0148",-3.75,-9.12,-8.3766666667,"non infected","negative","Mert",2016
"AA_0149",-3.75,-8.5266666667,-9.1833333333,"non infected","negative","Mert",2016
"AA_0150",-3.75,-9.5966666667,-8.5366666667,"non infected","negative","Mert",2016
"AA_0151",-3.75,-8.6033333333,-8.62,"non infected","negative","Mert",2016
"AA_0152",-3.75,-8.9733333333,-8.89,"non infected","negative","Mert",2016
"AA_0153",-3.75,-9.4466666667,-8.9233333333,"non infected","negative","Mert",2016
"AA_0154",-3.75,-8.3833333333,-8.0266666667,"non infected","negative","Mert",2016
"AA_0155",-3.75,-9.51,-8.1966666667,"non infected","negative","Mert",2016
"AA_0156",-3.75,-9.9933333333,-9.7633333333,"non infected","negative","Mert",2016
"AA_0157",-3.75,-8.1433333333,-8.5866666667,"non infected","negative","Mert",2016
"AA_0158",-3.75,-9.0266666667,-8.42,"non infected","negative","Mert",2016
"AA_0159",-3.75,-9.26,-8.8666666667,"non infected","negative","Mert",2016
"AA_0160",-3.75,-9.0733333333,-8.5833333333,"non infected","negative","Mert",2016
"AA_0161",-3.75,-8.2866666667,-8.82,"non infected","negative","Mert",2016
"AA_0162",-3.75,-9.18,-8.6633333333,"non infected","negative","Mert",2016
"AA_0163",-3.75,-8.6266666667,-9.0166666667,"non infected","negative","Mert",2016
"AA_0164",-3.75,-8.8066666667,-7.8433333333,"non infected","negative","Mert",2016
"AA_0165",-2.2533333333,-8.9733333333,-2.2533333333,"infected cecum","positive","Mert",2016
"AA_0166",-3.75,-9.8466666667,-8.21,"non infected","negative","Mert",2016
"AA_0167",-3.75,-8.72,-4.6866666667,"non infected","negative","Mert",2016
"AA_0168",-3.35,-8.5566666667,-3.35,"infected cecum","positive","Mert",2016
"AA_0169",-3.75,-8.24,-4.8333333333,"non infected","negative","Mert",2016
"AA_0170",-3.75,-8.6833333333,-8.8966666667,"non infected","negative","Mert",2016
"AA_0171",-3.75,-8.7366666667,-9.1,"non infected","negative","Mert",2016
"AA_0172",-3.75,-9.2633333333,-8.1333333333,"non infected","negative","Mert",2016
"AA_0173",1.13,-8.26,1.13,"infected cecum","positive","Mert",2016
"AA_0174",-3.75,-7.4366666667,-7.5166666667,"non infected","negative","Mert",2016
"AA_0175",-2.8966666667,-8.56,-2.8966666667,"infected cecum","positive","Mert",2016
"AA_0176",-3.75,-8.8733333333,-4.7733333333,"non infected","negative","Mert",2016
"AA_0177",-3.75,-9.2166666667,-8.29,"non infected","negative","Mert",2016
"AA_0178",-3.75,-8.0866666667,-8.6266666667,"non infected","negative","Mert",2016
"AA_0179",-3.75,-9.1733333333,-6.1966666667,"non infected","negative","Mert",2016
"AA_0180",-3.75,-7.8266666667,-9.43,"non infected","negative","Mert",2016
"AA_0181",-3.75,-9.1866666667,-8.85,"non infected","negative","Mert",2016
"AA_0182",-3.75,-9.2533333333,-9.0366666667,"non infected","negative","Mert",2016
"AA_0183",-3.75,-10.1333333333,-8.9566666667,"non infected","negative","Mert",2016
"AA_0184",-3.75,-9.4466666667,-6.0733333333,"non infected","negative","Mert",2016
"AA_0185",-3.75,-8.7466666667,-8.9666666667,"non infected","negative","Mert",2016
"AA_0186",-3.75,-8.4033333333,-7.82,"non infected","negative","Mert",2016
"AA_0187",-3.75,-9.14,-8.75,"non infected","negative","Mert",2016
"AA_0188",-3.75,-8.8166666667,-8.0133333333,"non infected","negative","Mert",2016
"AA_0189",-3.75,-9.3833333333,-7.5333333333,"non infected","negative","Mert",2016
"AA_0190",-3.0766666667,-8.4733333333,-3.0766666667,"infected cecum","positive","Mert",2016
"AA_0191",-3.75,-8.8366666667,-8.3533333333,"non infected","negative","Mert",2016
"AA_0192",-3.75,-8.2066666667,-7.4233333333,"non infected","negative","Mert",2016
"AA_0193",-3.75,-9.3066666667,-8.4466666667,"non infected","negative","Mert",2016
"AA_0194",-3.75,-8.0833333333,-7.7833333333,"non infected","negative","Mert",2016
"AA_0195",-3.75,-8.9766666667,-6.6016666667,"non infected","negative","Mert",2016
