Year ,Transect ,Code ,Mouse_ID,n18S_Seq,COI_Seq,ORF470_Seq,Species
2014,HZ_CZ ,NEB3 ,SK_2651,negative,negative,negative,Negative
2014,HZ_CZ ,NEB3 ,SK_2652,negative,negative,negative,Negative
2014,HZ_CZ ,CHOT1 ,SK_2653,negative,negative,negative,Negative
2014,HZ_CZ ,CHOT1 ,SK_2654,negative,negative,negative,Negative
2014,HZ_CZ ,CHOT1 ,SK_2655,negative,negative,negative,Negative
2014,HZ_CZ ,KVET3 ,SK_2656,negative,negative,negative,Negative
2014,HZ_CZ ,KVET3 ,SK_2657,negative,negative,negative,Negative
2014,HZ_CZ ,KVET3 ,SK_2658,negative,negative,negative,Negative
2014,HZ_CZ ,KAC2 ,SK_2659,negative,positive,positive,E_ferrisi
2014,HZ_CZ ,KAC2 ,SK_2660,negative,negative,negative,Negative
2014,HZ_CZ ,KAC2 ,SK_2661,negative,positive,negative,E_ferrisi
2014,HZ_CZ ,KAC2 ,SK_2662,negative,negative,negative,Negative
2014,HZ_CZ ,VRB7 ,SK_2663,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,VRB7 ,SK_2664,positive,positive,negative,E_ferrisi
2014,HZ_CZ ,VRB7 ,SK_2665,negative,positive,negative,E_ferrisi
2014,HZ_CZ ,KOZL ,SK_2666,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,KOZL ,SK_2667,negative,negative,negative,Negative
2014,HZ_CZ ,KOZL ,SK_2668,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,KOZL ,SK_2669,negative,negative,negative,Negative
2014,HZ_CZ ,BUS2 ,SK_2670,negative,negative,negative,Negative
2014,HZ_CZ ,PRPR ,SK_2671,negative,negative,negative,Negative
2014,HZ_CZ ,NEPO1 ,SK_2672,positive,positive,positive,E_vermiformis
2014,HZ_CZ ,STR2 ,SK_2673,negative,negative,negative,Negative
2014,HZ_CZ ,STR2 ,SK_2674,negative,negative,negative,Negative
2014,HZ_CZ ,STR2 ,SK_2675,negative,negative,negative,Negative
2014,HZ_CZ ,UNWE ,SK_2676,negative,negative,negative,Negative
2014,HZ_CZ ,UNWE ,SK_2677,negative,negative,negative,Negative
2014,HZ_CZ ,KVET3 ,SK_2678,negative,negative,negative,Negative
2014,HZ_CZ ,NEPO1 ,SK_2679,negative,negative,negative,Negative
2014,HZ_CZ ,OBIL2 ,SK_2680,negative,negative,negative,Negative
2014,HZ_CZ ,NEPO1 ,SK_2681,negative,negative,negative,Negative
2014,HZ_CZ ,BUS2 ,SK_2682,negative,negative,negative,Negative
2014,HZ_CZ ,ODR26 ,SK_2683,negative,negative,negative,Negative
2014,HZ_CZ ,BUS2 ,SK_2684,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,BUS2 ,SK_2685,negative,negative,negative,Negative
2014,HZ_CZ ,VRBI4 ,SK_2686,negative,negative,negative,Negative
2014,HZ_CZ ,KUBL1 ,SK_2687,negative,negative,negative,Negative
2014,HZ_CZ ,BUS2 ,SK_2688,negative,positive,negative,E_ferrisi
2014,HZ_CZ ,STR2 ,SK_2689,negative,negative,negative,Negative
2014,HZ_CZ ,VRBI4 ,SK_2690,negative,negative,negative,Negative
2014,HZ_CZ ,ODR26 ,SK_2691,positive,negative,positive,E_ferrisi
2014,HZ_CZ ,CHOT1 ,SK_2692,negative,negative,negative,Negative
2014,HZ_CZ ,KOZL ,SK_2693,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,JIND31 ,SK_2694,negative,negative,negative,Negative
2014,HZ_CZ ,VRBI4 ,SK_2695,positive,positive,positive,E_ferrisi
2014,HZ_CZ ,KUBL1 ,SK_2696,negative,negative,negative,Negative
2014,HZ_CZ ,NEB3 ,SK_2697,negative,negative,negative,Negative
2014,HZ_CZ ,DODV ,SK_2698,negative,negative,negative,Negative
2014,HZ_CZ ,DODV ,SK_2699,negative,negative,negative,Negative
2014,HZ_CZ ,PAST ,SK_2700,negative,negative,negative,Negative
2014,HZ_CZ ,VER15 ,SK_2701,negative,negative,negative,Negative
2014,HZ_CZ ,PAST ,SK_2702,negative,negative,negative,Negative
2014,HZ_CZ ,VER15 ,SK_2703,negative,negative,negative,Negative
2014,HZ_CZ ,TYN4 ,SK_2704,negative,negative,negative,Negative
2014,HZ_CZ ,PAST ,SK_2705,negative,negative,negative,Negative
2014,HZ_CZ ,NEB64 ,SK_2706,negative,negative,negative,Negative
2014,HZ_CZ ,NEB64 ,SK_2707,negative,negative,negative,Negative
2014,HZ_CZ ,NEB64 ,SK_2708,negative,negative,negative,Negative
2014,HZ_CZ ,NEB64 ,SK_2709,negative,negative,negative,Negative
2014,HZ_CZ ,KOZL ,SK_2710,negative,negative,negative,Negative
2014,HZ_CZ ,DODV ,SK_2711,negative,negative,negative,Negative
2014,HZ_CZ ,NVCH1 ,SK_2712,negative,negative,negative,Negative
2014,HZ_CZ ,DODV ,SK_2713,negative,negative,negative,Negative
2014,HZ_CZ ,NVCH1 ,SK_2714,negative,negative,negative,Negative
2014,HZ_CZ ,NVCH1 ,SK_2715,negative,negative,negative,Negative
2014,HZ_CZ ,KRIZS ,SK_2716,negative,negative,negative,Negative
2014,HZ_CZ ,HUR3 ,SK_2717,negative,negative,negative,Negative
2014,HZ_CZ ,JIND31 ,SK_2718,negative,negative,negative,Negative
